Kaaba; کَعبه
Kriegsschäden; خَسارَت ِ جَنگ
Kriminalbeamter; کار آگاه
Kriminalistik; جُرم شِناسى
Kriminalroman; رُمان ِ جِنائى
kriminell; جِنايَت آمیز، جِنائى
Krimineller; آدَم ِ جانى، تَبَه کار، جِنايَت کار
Krimskrams; بُنجُل، آت و آشغال
kringeln (sich -); حَلقه شُدَن
Krippe; آخور
- Kinderkrippe; مَحَل ِ اَطفال، ـ کودَکِستان
Krise; بُحران
- Krise heraufbeschwören; بُحرانى را بَر اَنگیختَن
- Identitätskrise; بُحران ِ هُويَت
- Lebenskrise; بُحران ِ زِندِگی
Krisenmanagement; تَدبیر ِ بُحران
Kristall; بُلور
Kristallkügelchen; دانه هاى ِ بُلورین
Kristallisation; تَبَلوُر
kristallisieren; مُتَبَلوُر کَردَن
- s. herauskristallisieren; تَبَلوُر یافتَن
Kriterium; مَحَک، مَلاک، مِعیار
- für mich ist das kein Kriterium; بَراى ِ مَن مَلاک نیست
Kritik; اِنتِقاد، نَقد
- Literaturkritik; سَنجِش ِ اَدَبیات، نَقد ِ اَدَبى
Kritiker; (pl.) ناقِد (ناقِدین)، مُنتَقِد
kritisch; ناقِدانه، اِنتِقادی
- das wird kritisch; کار بِجاى ِ باریک رِسید
- kritisch betrachten; خُرده گیر به چیزى نِگاه کَردَن
- kritisch etwas diskutieren; چیزى را دَر مَعرَض ِ جَرح و نَقد گُذاشتَن
- kritischer Druck; فِشار ِ بُحرانى
- kritische Lage; وَضع ِ حاد
- kritischer Geist; روح ِ نِکات
kritisieren; به باد ِ ایراد گِرِفتَن، خُرده گ.، اِنتِقاد کَردَن
- kritisieren, um den Preis zu drücken; دَبه کَردَن
- diesen Punkt kritisieren; از این نُکته خُرده گِرِفتَن
kritzeln; با خَط خَرچَنگ ِ قورباغه نِوِشتَن
Krokodil; تِمساح
- Krokodilstränen weinen; اَشک ِ تِمساح ریختَن
Krone; تاج
- Krone (biol.); جام ِ گُل، مَجموعۀ گُلبَرگها
- Zahnkrone; روکِش ِ دَندان
krönen; تاج گُذاشتَن، تاج گُذارى کَردَن
- gekrönt; تاج دار
Kronleuchter; چِلچِراغ
Kronprinz; وَليَعهد، شاهزاده
Krönung;
- Krönung, Thronbesteigung; جُلوس، تاج گُذارى
- die Krönung seiner Bemühungen; تَکخال ِ کوشِشهاى ِ او
Kropf; غَم باد
- Kropf (med.); جَخِش، گواتِر
- Kropf (bei Vögeln); چینه دان
Krösus; قارون، مایه دار، اُتُرخان
Kröte; وَزَق
Krücke; چوب زیر ِ بَغل، دَستوار
Krug; سَبو، کوزه، خُم
- Der Krug geht solange zum Brunnen, bis er bricht; کوزهٔ آب دَر راه ِ آب می شِکَنَد
- bauchiger Krug; بُلونی
- Milchkrug; بَستو، کوزهٔ سُفالین لُعاب دار دَهانهٔ گُشاد
- Tonkrug; تاپو، خُمرهٔ گِلی
Krümel; پُرزه
krumm;
- krumm (z.B. Linie); مُنحَنى، کَج، خَمید
- krumm, unaufrichtig; مُعَوَج
- ihr Rücken, der etwas krumm war, ...; پُشت کَمى قوز کَرده اَش
- krumm & schief; پَرت و پَلا
krümmen; کَج کَردَن، اِنحِنا دادَن
- s. krümmen (vor Schmerz); از دَرد) به خود پیچیدَن، پیچ و تاب خوردَن )
- gekrümmt; مُعَوَج
- ihr leicht gekrümmter Rücken; پُشت ِ کَمى قوز کَرده اش
- gekrümmte Linie; خَط ِ مُنحَنى
Krümmung; عِوَج، خَمیدِگى، تَحَدُب، شِکَن، اِنحِداب
- Erdkrümmung; اِنحِناى ِ زَمین
Krüppel; فَلَج، چُلاق
Kruste; قِشر، پوسته
- Kruste (z.B. beim Reis); تَه دیگ
- Erdkruste; پوستهٔ زَمین
krustig; خُشک
Kryptogamen; نَهانزادان، گیاهان ِ بى گُل
Kübel; دَلو، طَشتَک
kubisch; مُکَعبى، حَجمى
Küche; آشپَزخانه، مَطبَخ
- Feldküche; پیش خانه
Kuchen; قُطاب، کِیک
- Kuchenart; کُلیچه
Küchenchef; خوانسالار، آشپَز باشى
Küchengeräte; وَسائِل ِ پُخت و پَز
Kugel; گُلوله
- Gewehrkugel; فِشَنگ
kugelförmig; کُرَوى، مُدَوَر، مُستَدیر
Kugelgelenk; مَفصَل ِ کُرَوى
Kugellager; یاتاقان، ساچمه اى، يُلبرینگ
- kleines Kugellager; بوش
kugelrund; گِرد و گُلوله
- kugelrunder Kopf; سَر ِ گِرد و مُدَوِر
Kugelschreiber; خودکار
kugelsicher; ضِد ِ گُلوله
- kugelsichere Weste; جِلِتقهٔ ضِد ِ گُلوله
Kugelstossen; پَرتاب ِ گُلوله
Kuh; گاو
Kuhfladen;  تاپالهٔ گاو، پِشکِل ِ گاو
Kuhhandel;
- parteipolitischer Kuhhandel; بِده بُستان دَرون ِ حِزبى
kühl;
- kühles Wetter; هَواى ِ خُنَک
- kühler Kopf; خونسَردى
Kühlbox; يَخدان، کیف ِ خُنَک کُنَنده
kühlen; تَبرید کَردَن، خُنَک ک
Kühler (bei Auto); رادیاتور، کولِر
Kühlhaus; سَردخانه
Kühlmittel; مُبَرَد
Kühlschrank; يَخچال
Kühlsystem; سیستِم ِ خُنَک کُنَنده
kühn; دِل آوَر
- kühner Mensch (*: mutig); آدَم ِ مَسحور
- was für kühne Worte; چه سُخَنان ِ مُتَهَوِرانه
Kühnheit; جَسارَت، رِشادَت
Küken; مُرغَک، جوجه
Kükenaufzucht; جوجه کِشى
kulant; دَست و دِلباز
Kulisse; دِکوراسیون ِ صَحنه
- hinter den Kulissen; پُشت ِ صَحنه
Kult;
- Personenkult; پَرَستِش ِ شَخصيَت
kultiviert;
- kultiviert, höflich; مؤَدَب
- kultiviert (Boden); عامِر، مَزروع، آباد شُده
Kultur; فَرهَنگ
kulturell; فَرهَنگى
Kulturhoheit;
- Kulturhoheit der Länder; قَلَمرو ِ فَرهَنگى ِ ایالات
Kultusminister; وَزیر ِ اُمور ِفَرهَنگى
Kümmel; زیره
Kummer; حُزن، غَم، کَدورَت، اَندوه
- jem. Kummer bereiten; داغ به دِل کِسى گذاشتَن
- Liebeskummer; غَم ِ عِشق
kümmerlich;
- kümmerliches Leben; زِندِگى ِ نِکبَت بار
kümmern;
- jem. muss s. um ihn kümmern; يِک نَفَر بايَد نِگَرِش دارَد
- ich kümmere mich um meine Mutter; مَن به مادَرَم رِسیدِگى میکُنَم
- was kümmert s mich!; اَبررا سَگ زَیان نَکُنَد، سَگ لايَد و ماه تابَد، به مَن چه رَبطى دارَد؟ مَربوط به مَن نیست
- mach das und kümmere dich nicht um anderes; اینرا بُکُن، توى ِ نَخ ِ چیزى دیگَر نَرو
- ich kümmere mich um dich; حَواسَم به توست
- ich kümmere mich schon darum; آن پاى ِ مَن است
- ich kümmere mich um eine Sache; دُنبال ِ کاررا مى گیرَم
- jem., der s. nur um seine Arbeit kümmert; سَرِش کاسِبى اَش است
- sie kümmern s. nicht um die Anschuldigung gegenüber X; آنها به شِکايَت ِ فِلان تَرتیب ِ اَثَر نِمى دَهَند
Kumpel; هَمپایه، هَمکار
- Kumpel (Anrede); داداش
kündbar; قابِل ِ فَسخ
Kunde; مُشتَرى
Kundgebung; تَظاهُرات
kündigen;
- kündigen (z.B. Vertrag); فَسخ کَردَن، لَغو ک
- jem. kündigen (Arbeit); اِستِعفاء کَردَن
Kündigung;
- Kündigung (eines Vertrages); فَسخ ِ قَرار داد
- Kündigung (der Veranstaltung); لَغو ِ مَعرَض ِ نَمايِش
Kündigungsgesuch;
- Kündigungsgesuch einreichen; اِستِعفاء دادَن، مُستَعفى شُدَن
Kündigungsklausel; بَند اُلغاى ِ قَرار داد
Kündigungsschreiben; اِلغاء نامه، اِخراج ـ، اِنفِصال ـ، فَسخ ـ
Kundschafter; طَلایه دار
kundtun;
- eine Meinung kundtun; رأى صادِر کَردَن، ـ بَیان ک.، نَظَریه را شَرح و بَسط دادَن، ـ به اِطِلاع رِساندَن
künftig; مِنبَعد، بَعدى، آتى، دَر آيَنده
- künftige Generationen; نَسلهاى ِ آتى
Kunst; هُنَر
- bildende Kunst (z.B. Malerei); تَصویر گَری
künsteln; بِطور ِ مَصنوعی جیزی را اَنجان دادَن
- gekünstelt; زورَکى، مَصنوعى
- gekünstelte Hektik; شِتابزَدِگى ِ ساختِگى
Künstler; هُنَرمَند
- bildender Künstler (z.B. Maler); تَصویر گَر
künstlerisch; هُنَرمَندانه و بَدیع، هُنَرى
künstlich; مَصنوعى، عاريَتى
- künstliche, wurzellose Menschen; اَشخاصى ِ عاريَتى و بى اَصل و ریشه
Künstlichkeit; تَصَنُع
Kunststoff; پلاستیک، مَواد ِ مَصنوعى
Kunststück;
- du hast ein echtes Kunststück vollbracht; خوب مَعرِکه کردى
kunterbunt; اُجُق وُجُق، پُر رَنگ ِ نامُنَظَم
Kupfer; مِس
Kupferkessel; پاتیل
Kupferschmied; صَفار، مِسگَر
Kuppel; گُنباد، گُنبَد
- Lehmkuppel; قُپهٔ گِلی ِ بام، بام ِ گِلی ِ گُنبَدی شِکل
Kuppelbau; طاق، بُقعِه، گُنبَد
Kuppelei; جاکَشى، دَلالى ِ مُحَبَت
kuppelförmig; طاقنَما، گُنبَدى
kuppeln; کِلاچ زَدَن، ـ گِرِفتَن
Kuppler; قُرُمساق، پااَنداز
Kupplung; کِلاچ
- Kupplung, Verbindung; تَزویج، پِیوَست، اِتِصال
Kupplungsstecker; دوشاخهٔ تَزویج
Kur;  تَداوى، تَدویه، دورهٔ مُعالِجه
Kurator; مُتَوَلى
Kuratorium; هَیئَت ِ اُمَنا
Kurbel; هِندِل
kurbeln; هِندِل زَدَن
Kurbelwelle; میله لَنگ
Kürbis; کَدو
Kurheim; آسایش خانه، آسايِش گاه، اِستِراحَاگاه ِ دَرمانی
Kurier; پیک
kurieren; مُعالِجه کَردَن
kurios; عَجیب
Kurort; جایگاه ِ دَرمانی
Kurpfuscher; دُکتُر ِ عَوَضی
Kurs;
- harter Kurs; خَط ِ مَشى ِ سَخت گیرانه
- gegenwärtiger Kurs; نِرخ ِ موجود
- Warenkurs; نِرخ ِ کالا
- einen Sprachkurs besuchen; دورهٔ زَبان گُذَراندَن، ـ دیدَن
kursieren; دايِر شُدَن
- der Grund für das Kursieren der ..; عِلَت ِ تَداوُل ِ، دَلیل ِ پیچیدَن ِ
Kursivschrift; خَط ِ کَج
Kurve; پیچگاه، پیچ، گَردَنه
- in der Kurve; دَر خَم ِ خیابان
kurz; کوتاه
- kurz gesagt; اَلقِصه، خُلاصه، بِطور ِ مُختَصَر میگويَم
- kurz davor; دَر آستانۀ نِیل به
- kurz & gut; حاصِل اُلاَمر
- über kurz oder lang; دیر یا زود
- kurze Zeit; اَندَک زَمان
- vor kurzem; به تازِگى
- von kurzer Dauer; آنى
- nach kurzer Zeit; بَعد از مُدَت ِ کَم
- in Kürze; به زودی، عَنقَریب
- in kürzester Zeit; دَر اَسرَع ِ وَقت، دَر کوتاه مُدَت
Kürzen; ایجاز
- nicht den Kürzeren ziehen; کوتاهی نَداشتَن
- er musste immer in Bezug auf .. den Kürzeren ziehen; هَمواره مُقابِل ِ .. کوتاه آمَده بود
- verkürzen; مُنقَبِض کَردَن
Kürzel; مُخَفَفه
kürzen (z.B. Text); خُلاصه کَردَن، کوتاه ک
kurzfristig; قَصیر اُلمُدَت، قَلیل اُلمُدَت، کوتاه مُدَت، تَک پا
kurzlebig; زود گُذَر، خَلق اُلساِعه
kürzlich; اَخیراً
Kurzschluss; اِتِصالى
kurzsichtig; کَم سو، قَصیر اُلبَصر، نزدیکبین
- kurzsichtig (philos.); قاصِر اُلنَظَر
- sein Auge ist kurzsichtig; چِشم  ِ نَزدیک بین دارَد
Kurzsichtigkeit; نَزدیک بینى ِ چِشم
Kurzstreckenrakete; موشَک ِ کَم بُرد
Kürzung; کاهِش
Kurzwarenhändler; خَرازى فُروش
Kurzwelle;  موج ِ کوتاه
kurzzeitig; زود گُذَر
kuschen; اِطاعَت مُآب
- kusch dich!; لُنگ بيَنداز
Kusine; دُختَر عَمو، - دائی
Kuss; بوسه
- Handkuß; دَست بوس
küssen; ماج کَردَن، موج ک.، بوسیدَن، بوسه زَدَن
Küste; کِرانه، ساحِل، لَب ِ دَریا
Küstengewässer; آبهاى ِ ساحِلى
Küstenverteidigung; دِفاع ِ سَواحِل
Kutsche; دُرُشکه
Kutscher; سورچى
Kutte;
- Mönchskutte; خِرقه، دَلق ِ راحِب
Kutter; کِشتى ِ ماهى گیرى
Kuvert; پاکَت
