da; آنجا
- ... liegt über dem Durchschnitt ...; از حَد ِ وَسَط بیشتَر است
- der Durchschnitt beträgt; وَسَطِش ... مى شَوَد
durchschnittlich; مُتَوَسِط، مُتَداوِل
Durchschnittsgeschwindigkeit; سُرعَت ِ مُتَوَسِط، حَد ِ مُتَوَسِط ِ سُرعَت
Durchschnittsnote;
- diese Note wird aufgrund der Gesamtdurchschnittsnote errechnet; نُمرهٔ این دَرس دَر میانگین ِ کُل ِ نُمرات مُحاسِبه مى شَوَد
Durchschnittszahl; عَدَد ِ مُتَوَسِط
Durchschrift; کُپى، رونِویسى
durchsehen;
- sorgfältig durchsehen;  .زیر و رو کَردَن، وارِسى ک
durchsetzen;
- seinen Willen durchsetzen; ارادهٔ خودرا به اِجراء نافِذ کَردَن
- er kann s. nicht durchsetzen; کُلاهِش پَشم نَدارَد
- er kann s. im Büro durchsetzen; خودَش را دَر اِداره جا مى کُنَد
- das persische ist vom arabischen durchsetzt; زَبان ِ عَرَبى دَر زَبان ِ فارسى نُفوذ کَرد
- um die Forderung durchzusetzen; بَراى ِ وُصول ِ طَلَب
Durchsetzung;
- Durchsetzung seines Anspruches; وُصول به حَق ِ خود
- Durchsetzung seines Willens; اِجراى ِ اِرادهٔ خود
durchsetzungsfähig; گَردَن کُلُفت
Durchsicht; رِسیدِگى، بَررِسى
durchsichtig; شَفاف، رایِق
- durchsichtiger Tau; شَبنَم ِ زُلال
- durchsichtiger Stoff; پَرچه تَن نَما، ـ شَفاف
Durchsichtigkeit; شَفافى
durchsickern;
- durch etwas durchsickern; از چیزى تََراویدَن
- das Wasser sickert durch; آب نَشت میکُنَد
- die Nachricht sickert durch; پِیغام به بیرون رَخنه میکُنَد
Durchsickern; چَکیدِگى، تَراوُش
durchsieben;  .اَلَک کَردَن، سَرَند ک
durchsprechen;
- mit jem. den Fall durchsprechen; با کِسى بِجُزئیات قَضیه را وارِسى کَردَن، قَضیه را پُختَن
durchstechen;
- durchstechen (z.B. Damm); سَدرا سوراخ کَردَن
- durchstechen (z.B. Landenge für Kanal); بَر تَنگه تُرعه زَدَن
- durchstechen (z.B. Perle); مَرواریدرا سُفتَن، - سُنبیدَن
durchstehen (z.B.: Schwierigkeiten); دَر سَختیها ایستادِگى کَردَن
Durchstich;
- Kanaldurchstich; حُفر ِ تُرعه، ـ کانال
durchstöbern;
- ich durchstöberte seine Taschen; جیبهایَش را گَشتََم، ـ قاپیدَم، ـ تَفتیش کَردَم
durchstossen;
- durchstossen, vorstossen; راه ِ خود را گُشودَن
- durchstossen, durchlöchern; سوراخ کَردَن
durchstreichen (Wort); قَلَم زَدَن، ـ دَر کِشیدَن، خَط زَدَن
durchstreifen;
- wir durchstreiften die ganze Stadt; بالا و پائین ِ شَهررا گَز مى کَردیم
durchströmen;
- das Blut durchströmt den Körper; خون دَر بَدَن جَریان دارَد
durchsuchen;  .بازرِسى کَردَن، تَفتیش ک.، جُستِجو ک.، پویِش ک.، پوئیدَن، کَند و کاو ک
- er durchsucht uns; او مارا وارِسى (باز رِسی) مى کُنَد
Durchsuchung; تَفتیش، بازرِسى
durchtränkt;
- das Land ist durchtränkt von ...; کِشوَر آغُشته به ... است
durchtrieben; زیرَک و پُخته، حیله گَر، مُحیل، مَکار، ناقِلا، حُقه باز
- durchtriebener Mensch; آدَم ِ پاچه وَر مالیده
durchwacht;
- durchwachte Nacht; شَب زِنده دارى، شَب را روز کَردَن
durchwühlen; چیزى را زیر و رو کَردَن
durchzechen; شَب را دَر مِیخانه گُذَراندَن
durchziehen;
- den Faden durchziehen; نَخ را از توى ِ چیزى رَد کَردَن
- das ganze Land durchziehen;  سَراسَر ِ کِشوَررا عُبور کَردَن، تَمام ِ کِشوَر را سَر کِشى کَردَن
- der Duft von ... durchzieht ...; بوى ِ ... پیچیده است
durchzittern; به لَرزه در آوَردَن
Durchzug; عُبور
- Luftdurchzug; باد
Durchzugsgebiet; مَنطَقهٔ عُبور
durchzwängen;
- s. durchzwängen; با زور رَد شُدَن
- etwas durchzwängen; چیزى را با زور رَد کَردَن
dürfen; اِجازه داشتَن، مُجاز بودَن
dürftig;
- dürftiger Artikel; مَقالهٔ بى مایه
- dürftiges Essen; غَذاى ِ کَم
- dürftige Existenz; زِندِگى ِ نِکبَت بار
dürr;
- dürr, trocken (Wüste); بَرَهوت
- dürr, unfruchtbar; بى آب، خُشک، لَم یَزرَع
- ein paar dürre Hände; یِک جُفت دَست ِ نَحیف
- dürrer Körper; بَدَن ِ لاغَر
Dürre; خُشکى، قَحط، خُشکسالى
Durst; تِشنِگى، عَطَش
- den Durst löschen; عَطَش ِ خودرا فُرو نِشاندَن، رَفع ِ تِشنِگى کَردَن
dürsten; عَطَش داشتَن، تِشنه شُدَن، ـ بودَن
durstig; تِشنه
- ich bin durstig; تِشنه ام است، مَن تِشنه اَم
durstlöschend; عَطَش گیر، سیر آب کُنَنده
Dusche; دوش
- er hat eine kalte Dusche bekommen; بَر سَر ِ او آب ِ سَرد ریخت
duschen (s. -); دوش گِرِفتَن
Düse; سوخت پاش، اَفشانَک
Düsenflugzeug; هَواپیماى ِ جِت
dusselig;
- s. dusselig reden; حَرف زَدَن که خِرِفت شُدَن
- mir ist ganz dusselig im Kopf; سَرَم گیچ می رَوَد
düster;
- düstere Geschichte; داستان ِ شوم
- düstere Stimmung; حالَت ِ پَکَر
- düstere Zukunft; آیندهٔ تیره و تار
dutzen;
- jeder dutzt uns; ما با ضَمیر » تو« مورد ِ خِطاب قَرار مى گیریم، تو زیر کُلاهِت است
Dutzend; دَوازده، دوجین
dutzendweise; دو جین دو جین
Dynamik; جُنبِش، دینامیک، تَحَرُک
- Eigendynamik; خودگَردانی
- Eigendynamik haben; خودگَردان بودَن
dynamisch; پر قُدرَت، پُر جُنب و جوش
Dynamisierung; جُنبِش سازى
Dynamit; دینامیت
Dynamo; دینام، مولد ِ بَرق
Dynastie; سِلسِله، آل، دودِمان
Dystrophie; اِختِلال دَر تَغذیه، عَدَم ِ رُشد ِ طَبیعى
