e (Vokal über Konsonant); عَلامَت ِ کَسرَه
- was erleben wir nicht alles; چطور زِندِگانى میکُنیم، چه زِندِگانیهائى میکُنیم، چه چیزهائى بَر سَرِمان میایَد، چه دَردى میکِشیم
- erleben & erträumen; مُشاهِدات و تَخَیُلات، چِشیده ها و خواسته ها
Erlebnis;
- das war ein Erlebnis!; این واقِعاً داستانى بود، دَر آنجا عالَمى داشتیم
- unvergessliches Erlebnis; خاطِرهٔ فَراموش نَشُدَنى
erledigen;
- jem. erledigen; کَلَک .. کَندن، کار ِ کِسى را ساختَن، ـ بَر طَرَف کَردَن، ـ از بِین بُردَن
- eine Sache für jem. erledigen; .کاررا بَراى ِ کِسى رَدیف کَردَن، ـ سَر و سامان دادَن، ـ اِقدام کَردَن، ـ رو بِراه ک
- ich bin erledigt (*: fertig sein); جانَم به لَب می آید
- das Problem erledigt s.; مسأله مُنتَفى می شَوَد
- die Sache ist erledigt; گُذَشت، کار تَمام شُد
- die Sache hat s. erledigt; این کار دیگه لُزومى نَدارَد
- mit Erfolg erledigen; با مُوَفَقیَت از سَر گُذَراندَن
- ich hoffe, die Arbeit wird ordentlich erledigt; اُمیدوارَم کار به خوبى اَنجام شَوَد
- die Arbeiten wurden erledigt; کارها روبِراه شُد
Erledigung (einer Angelegenheit); اَنجام ِ کار، اِتِمام ِ کار
erleichtern; .آسان کَردَن، سَهل ک.، سَبُک ک
- sein Gewissen erleichtern; قَلب ِ خودرا راحَت کَردَن
- erleichtert aufatmen; نَفَس ِ راحَتى کِشیدَن
Erleichterung; (pl.) (تَسهیل (ـ ات
- mit Erleichterung (stellt er fest); بِآسودِگى مُتَوَجِه شُد که
- zur Erleichterung meines Gewissens; بَراى ِ آسایِش وُجدان، بَراى اِبراء ـ
- Erleichterung in den Geschäftsbedingungen; تَسهیلات دَر شَرایِط ِ مُعامِله
- damit unsere müden Füsse Erleichterung erfahren; تا خَستِگى ِ پاهایِمان تَخفیف مى یابَد
- bis jetzt hat s. keine Erleichterung eingestellt; تا حالا فَرَجى نَشُده بود
erleiden;
- Schaden erleiden; ضَرَر کِشیدَن، آزار دیدَن
- er erlitt einen Herzschlag; سِکته اى عارِضِش شُد
- erlittene Verletzungen; جَراحَت ِ وارِده
- erlittenes Unrecht; اِجحاف ِ وارِد آمَده
erlernbar; اِکتِسابى
erlernen;
- einen Beruf erlernen; حِرفه اى را فَرا گِرِفتَن، ـ آموختَن
- zum Erlernen; به فَراگیرى
erlesen;
- erlesener Geschmack; سَلیقهٔ نُخبه
- das erlesenste Publikum; مَغز ِ جامِعه، لُب ِلُباب ِ ـ
erleuchtet;
- erleuchtet werden; تابان شُدَن، پَرتو اَفکَن شُدَن
Erleuchtung; وَحی
erliegen;
- der Versuchung erliegen; شِکار ِ وَسوَسه شُدَن، مَغلوب ِ ـ
- der Verkehr kommt zum Erliegen; ترافیک بِحال ِ وَقفه مى اُفتَد، ـ تَوَقُف مى کُنَد
- die Erwähnung seines Namens bringt jedes Gespräch zum Erliegen; هَمینکه نام ِ او میبَرَند مَردُم بِصُحبَت خاتِمه دادَند
Erlös;
- der Erlös aus dem Verkauf; وُجوه ِ حاصِله از فُروش، وَجه ِ ـ
- mit dem Erlös von .. kaufe ich ..; با بَهاى ِ چیزى چیز ِ دیگَرى میخَرَم
erlöschen;  .اُفول کَردَن، خاموش ک
- etwas erlischt in jem.; چیزى دَر کِسى میمیرَد
- Erlöschen des Vertrages; پایان ِ معاهِده، فَسخ ِ قَرار داد
- erloschen (z.B. Feuer); مُطفى، خاموش شُده
- die Frist ist erloschen; مُدَت سِپَرى شُده
- der Vertrag ist erloschen; قَرار داد فَسخ شُده
erlösen; رَهائى دادَن، رَهانیدَن، نِجات دادَن، خَلاص کَردَن
Erlöser; ناجى، نِجات دَهَنده
erlöst; رَها شُده، نِجات یافته، خَلاص یافته
Erlösung; رَستِگارى، رَهائى
- Erlösung von ...; واراستِگى از
ermächtigen; .وِکالَت دادَن، تَفویض ِ اِختیار کَردَن، تَمکین ک
- jem. ermächtigen zu ...; بکِسى دَر اَمرى وِکالَت دادَن، ـ اِختیار ِ عَمَل دادَن، ـ تَمکین دادَن
- ermächtigt zu ...; داراى ِ اِختیارات ِ طِبق ِ..، مُختار به، مُجاز به
Ermächtigung; تَمکین، اِختیار گُذاری
ermahnen; اَندَرز دادَن، گوشزَد کَردَن
Ermahnung; اَندار، اِخطار، عِبرَت
Ermangelung;
- in Ermangelung einer Sache; دَر صورَتِ عَدم ِ ...، بِعِلَت ِ نبودَن ِ این چیز
ermässigt;
- die Waren zu ermässigten Preisen verkaufen; فُروش ِ کالاهارا با قِیمَت ِ کَمتَر، ـ تَخفیف شُده
Ermässigung; تَخفیف
ermattet; زَمین گیر، خَسته، سُتوه، زِله شُده
Ermessen; تَشخیص، صَلاحدید، اِختیار ِ اِستِنباط ِ شَخصى
- das steht in seinem Ermessen; مَربوط به نَظَر و سَنجِش ِ اوست
Ermessensentscheidung; تَصمیم مُبتَنى بَر اِستِنباط ِ شَخصى
Ermessenskontrolle; نَظارَت بَر قِضاوَت
Ermittlung; تَجَسُس، تَفَحُص، پِى گَردى
- Ermittlungen anstellen; .تَجَسُس کَردَن، باز جوئى ک.، تَفَحُص ک
- Ermittlungen einstellen; به رِِسیدِگى خاطِمه دادَن
Ermittlungsausschuss; کُمیسیون ِ بازجوئى
Ermittlungsbeamter; مأمور ِ اِستِنطاق
Ermittlungsverfahren; تَشریفات ِ بازجوئى
ermöglichen;
- durch seine Tat ermöglichte er, dass ...; با عَمَلَش این را مُیَسِر ساخت
ermorden; کِسى را کُشتن، ـ به قَتل آوَردَن
ermüden; خَسته شُدَن
- jem. ermüden; کِسى را خَسته کَردَن
- das ist ermüdend; کِسالَت آوَر است
- ermüdendes Leben; زِندِگى ِ کَسِل کُنَنده
- nach einer Reihe von ermüdenden Sitzungen; پَس از جَلَسات ِ طولانى و سین و جیم هاى ِ نَفَس گیر
Ermüdung; تَضعیف، خَستِگى، کِسالَت، ماندِگى
- Ermüdung des Materials; فَرسودِگى ِ آلات
ermutigen; .تَرغیب کَردَن، تَشجیع ک.، تَقویَت ک.، تَشویق ک
- die Zuhörer ermutigen; شِنَوَندِگان را دِلگَرم ساختَن
ermutigend; سازَنده
Ermutigung; تَشویق، دِلدارى، تَرغیب
ernähren; .خوراک دادَن، غَذا د
- seine Familie ernähren; خانِوادهٔ خودرا اِعاشه کَردَن
- er ernährt mich; او مَرا مى پَروَرَد
Ernährer;
- Ernährer (der Familie); نان رِسان، نان آوَر
- Ernährer (Gott); قاسِم اُلارزاق، پَروَردِگار، رازِق
Ernährung; اِرتِزاق، تَغذیه، پَروَرِش، اِعاشه
- die menschliche Ernährung; تَغذیهٔ اِنسانى
Ernährungsminister; وَزیر ِ خواربار
ernennen;
- jem. ernennen als; (präs.) (کِسى را دَر بَر گُماشتن (مى گُمارَد
- er ernennt einen, um aufzupassen; فِلان را بَراى ِ مُواظِبَت دَر آنجا مى گُمارَد
- ernannt, bestimmt (für Aufgabe); .مُنتَصِب شُده، مَنصوب ش
- selbsternannter Minister; وَزیر ِ خود گُماشته
Ernennung; اِنتِصاب، گُماشتِگى، حُکم ِ اِبلاغ
Ernennungsurkunde; سَنَد ِ مأموریت
erneuern; تَجدید کَردَن، تازه ک.، اِحیاء ک.، نو ساختَن
Erneuerung; تَجدید
- gedankliche Erneuerung; اِحیاى ِ اَندیشه، تَجدید ِ فِکرى
erneut; مُجَدِداً
- erneute Reparatur; تَعمیر ِ مُجَدَد
- erneuter Versuch; آزمایِش ِ مُجَدَد، ـ دوباره
erniedrigen; کِسى را ذَلیل کَردَن، پَست ک.، حَقیر ک.، خوار ساختَن
- er wurde erniedrigt; او پَست و سَر اَفکَنده شُد
erniedrigend; تَحقیر کُنَنده
- das Gemeine u. Erniedrigende; پَست و فُرومایِگى
Erniedrigung; تَذلیل، تَحقیر و اِستِخفاف، مَذَلَت، اِهانَت
- vor der Erhöhung steht die Erniedrigung; آدَم تا کوچِکی نَکُنَد بُزُرگ  نَشَوَد : خُضوع  مايهٔ  رَفعَت ِ قَدر و بُزُرگی  است
ernst;
- ernste Sache; اَمر ِ خَطیر، موضوع ِ جِدى
- ich meine es ernst; مَن تیر و طَعنه اى نِمى زَنَم
- er ist ein ernster Mensch; او آدَم ِ سَخت گیر است
- niemand nimmt ihn mehr ernst; دیگَر حَناى ِ او پیش ِ دیگَران رَنگ نَدارَد، به او زیریاکِشى مى کِشَند
- ernstes, unangenehmes Ereignis; روى ِ داد ناگُوار
- ernstester Einwand; بُراتَرین ایراد
- im Ernst etwas sagen; جِدى گُفتن
- voller Ernst; با جِد و جَهد ِ تَمام، به شِدَت ِ تَمام
- jetzt beginnt der Ernst des Lebens; حالا زندگى به جِد شُروع مى شَوَد
Ernstfall; دَر وَضع ِ جِدى
ernsthaft; جِدى
- ernsthafte Massnahmen ergreifen; اِقدام ِ حادّى کَردَن
Ernsthaftigkeit;
- mit Ernsthaftigkeit; با وَقار، با جِدیَت
Ernte; دِرو
- dieses Jahr hatten wir eine gute Ernte; اِمسال خوب سالى آوَردیم
- Zeit der Ernte; وَقت ِ خَرمَن، سَر ِ ـ، سَردِرَختى
Ernteergebnis; حِصاد، حاصِل، مَحصول
ernten; دِرَویدَن، دِرو کَردَن
- Schläge ernten; کُتَک خوردَن، حاصِل ِ کُتَک ِ کِسى  بودَن
- was man sät, wird man ernten; گَندُم از گَندُم بِرویَد جو ز ِجو
- wer nicht sät, wird nicht ernten; تا نَکارى نَدِرَوى
ernüchtern;
- jem. ernüchtern; هُشیار کَردَن، به خود آوَردَن
- ernüchtern (vom Rausch); کِسى از مَستى به حال آمَدَن، ـ بیرون آمَدَن
- ernüchtert werden (von Täuschung); هُشیار گَردیدَن، بیدار گ.، از حَرارَت اُفتادَن
Ernüchterung; بیدارى، هوشیارى
- das hat zur Ernüchterung beigetragen; این باعِث ِ ایقاظ شُد
Eroberer; تَسخیر کُنَنده، کِشوَرگیر، اِستیلاجو
- Eroberer einer Festung; قَلعه ِ گُشا
erobern; تَصَرُف کَردَن، فَتح ک.، تَسخیر ک.،  به تَصَرُف دَر آوَردَن، بر .. مُستولى شُدَن، اِستیلا یافتن
- die Herzen erobern; دِل ِ عَوام را بُردَن
erobert; مَفتوح
- eroberte Städte; شَهرهاى ِ مَفتوح، ـ تَسخیر شُده
Eroberung; اِستیلاء، تَصَرُف، فَتح، تَسخیر
Eroberungsmentalität; روحیهٔ فَتح و تَسخیر
eröffnen;
- Restaurant eröffnen; رِستوران را اِفتِتاح کَردَن
- bevor es eröffnet wird; پیش از آنکه به مَرحَلهٔ گُشایِِِش رسید، ـ راه اَندازى شُد
- sie eröffneten das Feuer gegen ...; آنها به سوى ِ کِسى آتَش گُشودَند
- ein neuer Weg eröffnet s.; طَریق ِ تازه گُشوده مى شَوَد
- die Veranstaltung wurde mit der Rede von .. eröffnet; جَلَسه با سُخَنرانى ِ فِلان آغاز به کار کرَد
Eröffnung;
- Eröffnung eines Kontos; باز کَرد ِ حِساب ِ جارى
- Eröffnung einer Diskussion; اِفتِتاح ِ مُباحِثه، گُشایِش ـ
Eröffnungsrede; سُخَنرانى ِ اِفتِتاحیه، نُطق ِ اِفتِتاحى
Eröffnungsveranstaltung; مَراسِم ِ اِفتِتاحیه
erörtern; بَحث کَردَن، طَرح ک.، مورِد ِ بَحث قَرار دادَن 
Erosion; فَرسایِش، سایِش، ساییدِگى، کَنده شُدَن و اِنتِقال ِ خاک
Erotik; عِشق وَرزى
erotisch;
- erotische Dichtung; تَشبیب، غَزَل سَرائى، تَغَزُل
erpressen; کِسى را اَخاذى کَردَن، باج ِ سَبیل گِرِفتَن، تَهدید کَردَن، به زور خواستَن، ـ گِرِفتَن
Erpresser; اَخاذ، اِجحاف کُنَنده
Erpressung; اَخاذى، اِجحاف
erproben; آزمودَن
erprobt; با تَجرُبه
erraten; حَدس زَدَن
erregen;
- s. erregen; اَصَبانی شُدَن
- in jem. Abscheu erregen; تَنَفُر ِ کِسى را بَر اَنگیختَن، ـ بَر اَفروختَن
- Aufsehen erregen; مَعرِکه کَردَن، اَنگُشت نَما شُدَن
- Verdacht erregen; تولید ِ سوء ظَن کَردَن، مورِد ِ سوء ظَن قَرار گِرِفتَن، سوء ظَن را بَرپا کَردَن
Erreger;
- Erreger (von Gefühlen); مُحَرِک ِ اِحساسات
- Fäulniserreger; گَندزا
- Krankheitserreger; مُوَلِد ِ مَرَض، بیمارى زا
erregt;
- ein erregtes Gespräch; صُحبَت ِ مُهَیِج
Erregung; آشفتِگى، بَر اَفروختِگى، لَرزهٔ شَهوَدى، تَحریک، تَهَیُج، جوش و خُروش
- in Erregung kommen; به هِیَجان اُفتادَن
erreichbar; حُصول پَذیر، رِِسیدَنى، یافتَنى، بِدَست آوُردَنى، ـ آمَدَنى، قابِل ِ دَسترِسى
- ich bin mit dem Bus erreichbar; به مَنزِل ِ مَن با اُتوبوس میتَوان رَفت
- erreichbar erscheinen; دور از دَسترس ِ خود نَمائى نَکَردَن
- leicht erreichbar; سَهل اُلحُصول
- schwer erreichbar; به کِسى مُشکِل می شَوَد دَست یافت، کِسى را مُشکِل می شَوَد پِیدا کرَد، صَعب اُلحُصول
- erreichbares Ziel; هَدَف ِ رِِسیدَنى، ـ قابِل ِ نِیل
- seine Gesellschaftsschicht war für uns nicht erreichbar; طَبَقهٔ اِجتِماعى ِ او بَراى ِ ما مُیَسِر نِمى شُد
erreichen;
- etwas nicht erreichen (i.S.: versagen); قاصِر آمَدَن
- Beschlussfähigkeit erreichen; به حَد ِ نِصاب بَراى ِ رأى گیرى رِِسیدَن
- um dieses Ziel zu erreichen; بَراى ِ نِیل به این هَدَف
- sie helfen uns, das Ziel zu erreichen ; مارا دَر نِیل به هَدَف یارى می کُنَند
- er erreichte sein Ziel; به مَقصَد فائِز شُد
- nicht mehr zu erreichen; نایاب شُدَن
- die Anzahl der Arbeiter, die die 100 erreicht; کارمَندان که بالِغ بَر ۱۰۰ نَفَر مى شَوَد
- das Auto erreicht 100 km pro Stunde; سُرعَت ِ ماشین به ۱۰۰ کیلومِنر دَر ساعَت مى رِسَد
- der Exportwert erreicht .. Euro; اَرزِش ِ صادِرات به .. یورو بالِغ مى گَردَد
- zum Erreichen des Zieles; بَراى ِ نِیل به هَدَف
errichten;
- für jem. ein Denkmal errichten;  بَراى ِ کِسى مُجَسَمه ساختَن
Errichtung (einer Institution); ایجاد، تأسیس
erringen;
- Macht erringen; قُدرَت را به دَست آوَردَن
- die Mehrheit erringen; اَکثَریَت ِ آراء را اَخذ کَردَن
erröten; اِنفِعال بُردَن، گُل اََنداختَن، سُرخ رو شُدَن، گُلگون ش.، چِهره اَفروختَن، رَنگ آوَردَن
Errungenschaft; (pl.) دَست آوَرد، دارائى، حاصِل (حَواصِل)، ثَمَر
- Erhalt der Errungenschaften; حِفظ ِ دَستآوَردها
Ersatz; عَوَض، جُبران، بَدیل
- jem. Ersatz anbieten; به کِسى تاوان دادَن
- Ersatz von etwas sein; دَر بَدیل ِ جیزی بودَن
- Ersatz beschaffen; جاى ِ چیزى را پُر کَردَن
- Schadensersatz; تاوان، تَلافى، غَرامَت
- jem. muss Schadensersatz leisten; کِسى بایَد جُبران ِ خِسارَت کَردَن، غَرامَت پَرداختَن
Ersatzanspruch; حَق ِ غَرامَت، ـ جُبران
Ersatzdienst; خِدمَت ِ غِیر ِ نِظامى
ersatzlos;
- diese Sache wird ersatzlos gestrichen; این مَطلَب بِدون ِ بَدَل حَذف می شَوَد، ـ بى بَدیل ـ
Ersatzlösung; (alal-badal) راه حل ِ علی البَدَل
Ersatzmann; عُضو ِ عَلى البَدَل
- vorübergehender Ersatzmann; عُضو ِ على البدل ِ مُوَقَت
Ersatzreifen; تایِر ِ یَدَکى
Ersatzteile; قَطعِات ِ یَدَکى
ersatzweise; بَدَلى، عَوَضى
erschaffen; به وُجود آوَردَن
erschallen; طَنین اََنداختَن، به تَرَنُم دَر آمَدَن، مُتَرَنِم شُدَن
erschaudern;
- Geruch des Erschauderns; بوى ِ چِندِش آور
erscheinen; پَدید آمَدَن، پَدیدار شُدَن، مُشاهِده شُدَن، بِنَظَر رِِسیدَن، جِلوه گَر شُدَن، جِلوه کَردَن
- plötzlich erscheinen; سَر زَدَن، سَر بَر آوَردَن
- jem. erscheinen; به کِسى ظُهور شُدَن، ـ حاضِر ش.، خودرا به کِسى ظُهور کَردَن، حُضور یافتن، به ظُهور آمَدَن
- jem. jünger erscheinen lassen; کِسى را جَوانتَر جِلوه دادَن
- ein neu erschienener Artikel; مَقالهٔ تازه ظُهور
- das erscheint leer; خالى نِمودَن
- verhindern, zu erscheinen; جِلوگیرى از بُروز
- das Erscheinen von Zeugen; حُضور یافتَن ِ شُهود
- das Erscheinen ist Pflicht; هَمه بایَد حُضور بِهَم رِسانَند
Erscheinung; بُروز، مَظهَر، پَدیده، رویداد
- seine ganze Erscheinung; بَر و رویَش، قَد و قامَت ِ او
- als er wieder in Erscheinung trat; وَقتى سَر و کَله اَش پِیدا شُد
- die göttliche Erscheinung Jesu; مَظهَر ِ اِلهی ِ عیسی
- in Erscheinung treten von ...; چیزى سَر بَر زَدَن، نَمایان شُدَن، به ظُهور رِِسیدَن
- Studium der Erscheinungen; مُطالِعهٔ پَدیده ها
erschiessen; کِسى را با تیر زَدَن، با تیر کُشتن، تیرباران کَردَن
- das Reh erschiessen; آهورا تیر زَدَن
- .. sonst werde ich dich erschiessen; والا به تیرَت میزَنَم
- erschossen werden; تیر خوردَن
- er ist erschossen worden; او تیر باران شُده
- erschossen sein (i.S. erschöpft);  .وامانده بودَن، خَسته و کوفته ب.، خُرد و خَمیر شُدَن، از پا دَر آمَدَن، به سُتوه آ
Erschiessung; قَتل با تیر، تیرباران
Erschiessungskommando; جوخهٔ اِعدام
erschlaffen;
- erschlaffen (Gegenstand); .مُنسَبِط شُدَن، شُل ش
- erschlaffen (Mensch); خواب رَفتَن
- die Haut erschlafft; پوست وا میرَوَد
Erschlaffung; تَضعیف، خَستِگى، وارَفتِگى، سُستى، شُلى
erschlagen; لَت کَردَن، کُشتَن
- er wird vom Schwert erschlagen; اورا از دَم ِ شَمشیر خواهَد گُذَرانَد
- ich bin völlig erschlagen (*: erschöpft); مَن بُهت زَده اَم، مَن ماتِم زَد
Erschlagener; مَقتول
erschleichen;
- s. etwas erschleichen; به زیرَکى به دَست آوَردَن، زیرَکانه ـ، از راه ِ حیله چیزى را کَسب کَردَن
- s. jemandes Erbschaft erschleichen; خودرا وارِث ِ کِسى از آب دَر آوَردَن
erschliessen; آباد کَردَن، گُشودَن، توسعه دادَن
- das Land wirtschaftlich erschliessen; راه ِ کِشوَررا بَراى ِ تَرَقى ِ اِقتِصادى باز کَردَن
Erschliessung;
- Erschliessung des Marktes; بازاریابى
- Erschliessung des Weltraums; گُشایِش ِ فَضا
- Erschliessung des Landes für den Fremdenverkehr; آمادِگى ِ کِشوَر بَراى ِ رَفت و آمَد ِ جَهانگَردان
erschmeicheln;
- s. etwas erschmeicheln; چیزى را از راه ِ تَمَلُق بِدَست آوَردَن، ـ چاپلوسى ـ، ـ خایه مالى ـ
erschöpfend;
- erschöpfende Auskunft (*: umfassend); خَبَر ِ مُفَصَل، ـ شامِل ِ تَمام ِ جُزئیات
erschöpft; .وامانده بودَن، خَسته و کوفته ب.، خُرد و خَمیر شُدَن، از پا دَر آمَدَن، به سُتوه آ
- etwas erschöpft ihn; چیزى اورا تَحلیل میبَرَد
- alle Möglichkeiten sind erschöpft (*: aufgebraucht); از کُل ِ اِمکانات اِستِفاده شُده، ـ بَهره بَردارى شُده
Erschöpfung;
- jem. zur Erschöpfung bringen; کِسى را از پا دَر آوَردَن، ـ بسُتوه آوَردَن
- geistige Erschöpfung; فُتور دَر عَقل، رِخوَت ِ روحى، خَستِگى ِ ـ
erschossen;
- erschossen sein (i.S. erschöpft);  .وامانده بودَن، خَسته و کوفته ب.، خُرد و خَمیر شُدَن، از پا دَر آمَدَن، به سُتوه آ
erschrecken;
- jem. erschrecken; کِسى را مُتَوَحِش کَردَن، ـ پَخ ک.، ـ تَرساندَن
- s. erschrecken; مُتَوَحِش شُدَن
- die Nachrichten erschrecken mich; از این خَبَر مُتَوَحِش میشَوَم، خَبَرها مَرا به وَحشَت مى اَندازَند
- Erschrecken Sie nicht!; !تَرسان نَباشید!، هول نَخورید
- das erschreckt mich; از این چیز وَحشَتَم میگیرَد
- du hast mich vielleicht erschreckt!; وَحشَتَم کرَدى
- wenn du sie erschreckst, fallen sie in Ohnmacht; اَگَر تو دِلِشان پَخ بِکُنى غِش مى کُنَند
- erschreckende Informationen; اِطِلاعات ِ وَحشَت اَنگیز، ـ دِهشَت ناک
erschrocken; مُتَوَحِش، وَحشَت زَده
- ich war zu Tode erschrocken; به وَحشَت ِ مَرگ اُفتادَم، هُرى دِلَم ریخت، هول بَرَم داشت
erschüttern; .تَکانیدَن، تَکان دادَن، مُتَزَلزِل کَردَن، پَریشان خاطِر ک
- diese Nachricht hat mich zutiefst erschüttert; این خَبَر جانَم را فَرسود، ـ دِلَم را تَکان داد
- das kann ihn nicht erschüttern; این خَبَر اورا مُتَزَلزِل نِمى کُنَد
- ich war erschüttert; دِلَم هُرى ریخت پائین، دِلَم ضَعَف می شُد
- das hat seinen Glauben erschüttert; ایمانَش مُنقَلِب شُد
- der Motorenlärm erschüttert die Gegend; خُروش ِ مُتُر تَمام ِ مَنطَقه را به لَرزه دَر مى آوَرَد
- die ganze Gegend wird erschüttert; کُل ِ مَنطَقه بِلَرزه مى اُفتَد
- eine erschütternde Nachricht; خَبَر ِ تَکان دَهَنده
- erschüttert vor dem Grab stehen; با دِلى ِ لَرزان کِنار ِ قَبر ایستادَن، با خاطِرى ِ پَریشان ـ
Erschütterung; تَشَنُج، تَکان، حُزن، اِرتِعاش، تَزَلزُل، لَرزه
- mit Erschütterung stellte ich fest, dass ...; با تَشَنُج ِ خاطِر دَریافتَم که
erschütterungsfrei; بِدون ِ اِرتِعاش
erschweren;
- das Atmen erschweren; نَفَس کِشیدَن را مُشکِل کَردَن
- s. die Arbeit erschweren; کار ِ خودرا کوه کَردَن
- warum s. das Leben erschweren; چِرا بایَد زِندِگى را بَر خود سَخت گِرِفت
- das erschwert die Situation nur; قوز بالاى ِ قوز کَردَن
- erschwerend sein; مُتَعسِر بودَن، سَخت شُدَن، مَسئله سَر ِ این است
- erschwerende Umstände; موجِبات ِ تَشدید کُنَنده، کِیفیات ِ مُشَدِده
Erschwernis; (pl.) مانِع (مَوانِع)، مُشکِل (ُمشکِلات)، مَضیقه (مَضایق)، گیر
erschwinglich;
- das ist für mich erschwinglich; این دَر دَسترِس ِ مَن است
- kaum erschwinglich für mich; بَراى ِ مَن بِسَختى مُهَیا است
- zu erschwinglichen Preisen; بِقِیمَتهاى ِ مُناسِب
ersehen;
- aus dem Bericht ersehen wir, ...; از گُزارِش مى فَهمیم
ersehnen; حَسرَت ِ چیزى را داشتَن
- ersehnen wir die Zeit, da ..; ما حَسرَت ِ زَمانى داریم که
- ich ersehne mir ein Kind; حَسرَت ِ داشتَن ِ فَرزَندى را دارَم، حَسرَت به فَرزَند دارَم
ersehnt; خواسته شُده، آرِزو ش.، آرِزواَنگیز
- endlich kam der ersehnte Brief; بِالاخِره نامهٔ آرِزو شُده آمَد
ersetzbar; قابِل ِ مُعاوَضه، جابِجا شُدَنى
ersetzen; عَوَض کَردَن، بَدَل ک.، جُبران ِ خِسارَت ک
- jem. ersetzen; جاى ِ کِسى را گِرِفتَن، جاى گُزین ِ کِسى شُدَن، جانِشین کَردَن
- etwas ersetzen; دَر بَدیل ِ جیزی بودَن
Ersetzung;
- personale Ersetzung; تَعویض، جایگُزینى، جانِشینى
- Schadensersetzung (*: Ersatz); تَلافى، تاوان، جُبران ِ خِسارَت
ersichtlich; هُوِیدا، نَمایان
- ohne ersichtlichen Grund; بِدون ِ عِلَت ِ مَعلوم
ersparen;
- ich möchte Ihnen die Mühe ersparen; دِلَم میخواهَد زَحمَت ِ شُمارا کَم کُنَم، ـ زَحمَت را از دوش ِ شُما بَر دارَم
- ersparen Sie mir die Mühe; زَحمَتَم نَکُنید
- diese Mühe konnte ich mir ersparen; مَن مُعاف از زَحمَت شُدَم
- ersparen Sie mir die Einzelheiten (ma ́foww); از جُزئیاتِش مَعفُوَم دارید
Ersparnis; پَس اَنداز، اَندوخته
erspart;
- jem. etwas erspart bleiben; به این تَرتیب رَفع ِ چیزى از فِلان کس می شَوَد، چیزى از دوش ِ کِسى بَر داشته می شَوَد
- jem. etwas nicht erspart bleiben; کِسى ناگُزیر بود از اینکه
erst;
- erst dann, wenn ..; تازه وَقتیکه ... ، جَخ ِ وَقتیکه 
- erst dann, wenn .., können wir ...; به مَحض ِ اینکه ... میتَوانیم
- erst kommt er, dann du; اَوَل نوبَت ِ اوست بَعد تو
- erst die Arbeit, dann das Spiel; اَوَل کار بَعد بازى
- aber nicht erst im letzten Moment; نَه جَخ دَر آخَرین لَحظه
- er hörte erst um 5 Uhr, dass ...; تَنها دَر ساعَت ِ ۵ شِنید که
- es ist erst 5 Uhr; فَقَط ساعَت ِ ۵ است
- das ist nicht erst seit heute; این نَه از هَمین اِمروز است 
- ich habe gerade jetzt erst gelesen; مَن هَمین اَلان خواندَم، مَن جَخ خواندَم
- lass es mich erst wissen; قَبلاً مَرا خَبَر بِده
- ich sah ihn doch erst gestern; مَن تازه دیروز دیدَمِش
erstarken; قُدرَت گِرِفتَن
erstarren;
- vor Kälte erstarren; از سَرما مُنجَمِد شُدَن، ـ خُشک ش
- er ist vor Angst erstarrt; از تَرس بُهتِش زَد، خُشکِش می زَنَد
- er ist vor Wut erstarrt; کاردِش میزَد خونش دَر نِمى آمَد
- das Blut erstarrte ihm in den Adern (vor Schreck); خون دَر رَگهایَش مُنجَمِد شُد، این خَبَر زَهرهٔ اورا آب کرَد
- wie vom Blitz getroffen, blieb er erstarrt stehen; مانَند ِ بَرق گِرِفته دَر خُشکَش زَده است، ـ جایَش مى خُشکَد
Erstarrung; اِنجِماد، بى حَرارَتى، بیحِسى
erstatten;
- erstatten, zurückgeben; پَس دادَن، مُستَرِد دادَن
- gegen jem. Anzeige erstatten; عَلیه کِسى شِکایَت کَردَن، ـ اِعلام ِ جُرم کَردَن
- Bericht erstatten; گُزارِش دادَن
- Kosten erstatten; .مَخارِج را مُستَرَد کَردَن، ـ اَدا ک
Erstattung;
- Erstattung der Reisekosten; اِستِرداد ِ هَزینهٔ سَفَر، خَرج ِ مُسافِرَت ِ کِسى را پَرداختَن
Erstaufführung; اَولَین نَمایِش
erstaunen;  .تَعَجُب کَردَن، حِیرَت ک.، چَهار چَشم شُدَن، مُتَحَیِر ش
Erstaunen (n);  حِیرَت، تَعَجُب
- jem. in Erstaunen versetzen; کِسى را به حِیرَت فُرو بُردَن، ـ تَعَجُب ِ کِسى را بَراَنگیختَن
erstaunlich; شِگِفت اَنگیز، عَجیب، تَعجُب آوَر
- erstaunlich schnell sein; سُرعَت ِ عَجیبى داشتَن
erstaunt;
- erstaunt sein; حِیرَت زَدَن، دَم بَستن، دَر شِگِفت شُدَن، مُتَحَیِر شُدَن، اِعجاب زَده، اَنگُشت به دَهَن ماندَن، مُتَحَیِر شُدَن
- erstaunt blicken; هاج و واج نِگاه کَردَن
- er war erstaunt; او بُهت زَده بود، حِیرَتَش گِرِفت
- baß erstaunt sein, die Welt nicht mehr verstehen; اِسفِناج سَبز شُدَن از کَلهٔ کِسی، شاخ دَر آوَردَن
- vor den erstaunten Augen aller; دَر بَرابَر ِ چِشمان ِ بُهت زَدهٔ هَمه
