Saal (m); سالُن
- Wasser stauen; آب سَد بَندى کَردَن
staunen; تَعجُب کَردَن، عِجاب کَردَن
Staunen (n); تَعَجُب، اِستِعجاب، عِجاب
- sie waren sprachlos vor Staunen; آنها اَنگُشت به دَهان مانده بودَند
- das bringt mich zum Staunen; اين جيز مرَرا به عِجاب وا مي دارَد
Stausee; آبگير
Stechbeitel; مَقار ِ نَجارى، قَلَم ِ تَراش
stechen; نيش زَدَن
- stechen (vor Schmerzen); زُق زَدَن، تير کِشيدَن
- stechende Sonne; آفتاب ِ سوزان
- stechender Geruch; بوى ِ تُند
Stechfliege; مَگَس ِ گَزَنده
Steckbrief; حُکم ِ کَتبى ِ توقيف
Steckdose; پِريز ِ بَرق
stecken; گُذاشتَن
- jem. in die Tasche stecken; حَريف ِ کِسى شُدَن
- es steckt etwas dahinter; کاسه اى زير ِ نيم کاسه است
- ich stecke mitten drin; تو نَخ ِ اين کار هَستَم
- steck dein Schwert weg; شَمشيررا غَلاف کُن
- er steckte s. die Pfeife zwischen die Zähne; پيپِش را زير ِ لَب گُذاشت
- ineinander gesteckt; توى ِ هَم رَفته#�

stecken bleiben;
- im Verkehr stecken bleiben; توى ِ ترافيک گير اُفتادَن
- stecken bleiben (in einer schwierigen Situation); مِثل ِ خَر دَر گِل ماندَن
- Bekenntnisse, im Hals stecken geblieben; اِعتِرافهاى ِ دَر گَلو خَفه شُده
stecken lassen;
- den Schlüssel stecken lassen; کِليد را جا گُذاشتَن
Stecker; سر سيم ِ دو شاخه
Steckkontakt; اِتِصال ِ دوشاخة بَرق
Stecknadel; سَنجاق ِ تَه ِ گِرد
Steckschlüssel; آچار ِ بوکس
Steg; راه رو
- Steg (bei Gitarre, Geige, u.ä.); زِه گير، خَرَک
Stegreif; اِرتِجال، بَداهَت، بَداهه نَوازى
- aus dem Stegreif; اِرتِجالى، با لبَداهه
stehen; ايستادَن
- bleib stehen; (woissā) وايستا
- Steh auf!; پا شو
- stehen lassen; سَر ِ پا نِگَه داشتَن
- hinter jem. stehen, helfen; پُشت ِ کِسى را گِرِفتَن
- in Verdacht stehen; مورِد ِ سوء ِ ظَن واقِع بودَن
- mir steht das Wasser bis zum Hals; جانَم به لَب آمَد
- die Gruppe steht unter meinem Befehl; دَست بَر قَضا رَهبَر ِ گُروه مَن هَستَم
- seine Sache steht gut; کَبکَش خوب مى دانَد
- wie stehts? (z.B. beim Fussball); چَند چَند هستيد؟
- er kann vor Freude nicht stillstehen; او از خوشحالي روي ِ پا بَند نيست
stehen bleiben;
- wie vom Blitz getroffen blieb er stehen; مانَند ِ بَرق گِرِفته دَر جايَش مى خُشکَد
- meine Uhr ist stehengeblieben; ساعَتَم مى خوابَد
stehend; سَر ِ پا
- stehendes Gewässer; آب ِ راکِد
stehlen; به سِرقَت بُردَن، دُزديدَن، دُزدى کَردَن
- gestohlen; مَسروق؛ دُزد شُده# 

- gestohlen werden; به سِرقَت رَفتَن#�

- gestohlenes Geld; پولهاى ِ مَسروقه
steif; سيخ سيخ
Steifheit; شَقى و رَقى
Steigbügel; رِکاب
- Steigbügelhalter (auch im übertragenen Sinn); رِکاب دار
steigen;
- auf den Berg steigen; بالاى ِ کوه رَفتَن
- der Geruch von .. steigt ihm in die Nase; بوى ِ .. به مَشامَش مى خورَد
- steigender Druck; فِشار ِ مُتَزايد
steigern;
- die Produktion steigern; توليدرا اَفزايِش دادَن
- manchmal steigerte s. das Herzklopfen; تَپِش ِ قَلب گاهى شِدَت مى گِرِفت
Steigerung (Grammatik); تَفضيل
- Steigerung des realen Pro-Kopf-Einkommens; اَفزايِش ِ دَرآمَد ِ واقِعى ِ سَرانه
Steigfähigkeit (z.B. des Flugzeuges); تَوانائى ِ صُعود
Steigungswinkel; زاوية شيب
steil; سَرازير، سَراشيب
Stein; سَنگ
- in Stein gehauen; از سَنگ تَراشيده
- er war ja schliesslich nicht aus Stein; آخَر او از سَنگ که ساخته نَشُده بود
- bei jem. einen Stein im Brett haben; دَر نَظَر ِ کِسى اِلتِفات يافتَن
- wer einen Stein ins Rollen bringt, auf den fällt er zurück; هَر که سَنگى بِغِلطانَد بَر او خواهَد بَرگَشت
- Feldstein; قُلبه سَنگ
Steinbock; بُز ِ کوهى
- grosser Steinbrocken; پاره سَنگ، سَنگ ِ پارة بُزُرگ
Steinbruch; مَعدَن ِ سَنگ
Steingut; ظُروف ِ سُفالى
steinig; سَنگدار، سَنگى
- steiniges Gelände; سَنگلاخ
steinigen; سَنگسار کَردَن، سَنگ باران کَردَن
Steinigung; رَجم، سَنگسار
Steinmetz; حَجار
steinreich; خَرپول
Steinschlag; رُمبِش، سَنگريزه
Steinschleuder; سَنگ ِ فَلاخَن، دَست سَنگ، قُلاب ِ سَنگ
Steinwolle; پَشم ِ مَعدَنى، ـ سَنگ
Steinzeit; عَصر ِ حَجَر
Steissbein; دُم ِ غازه، خار ِ عانه، اُستُحوان ِ دُنباليچه، عُصعُص
Stelle; جا، گاه، مَکان
- auf der Stelle, sofort; فى الفور، هَمين دَم، دَر جا
- er starb auf der Stelle; او جابِجا مُرد
- s. an die Stelle von .. versetzen; با قَرار گِرِفتَن دَر جاى ِ فِلان، جاى ِ فِلان را گِرِفتَن
- eine Zahl mit drei Stellen; يِک عَدَد ِ سه رَقمى
stellen;
- die Uhr stellen; ساعَت را ميزان کَردَن
- Wecker stellen; ساعَت ِ شُماطه را تَنظيم کَردَن
- zur Diskussion stellen; به بَحث گُذاشتَن
- jem. auf die Beine stellen; کِسى را روى ِ پا ايستاندَن، ـ ايستانيدَن
- jem. ein Bein stellen; کَله پائىن مى کُنَد
- jem. vor vollendete Tatsachen stellen; دَر بَرابَر ِ اَمر ِ واقِع قَرار دادَن
- ihr wurdet an ihren Platz gestellt; شُما سَر ِ جاى ِ آنها قَرار گِرِفتيد
- etwas an seinen Platz stellen; چيزى را سَر ِ جايَش گُذاشتَن
- etwas über eine andere Sache stellen; چيزى را از چيزى ِ ديگَر مُهِمتَر تَلَقى کَردَن
- s. der Verantwortung stellen; وَظيفه را به خود اِختِصاص دادَن
- s. schlafend stellen; خودرا به خواب زَدَن
- s. unglücklich stellen; خودرا موش مَرگى زَدَن
- s. unwissend stellen; خودرا به نَدانِستَن زَدَن
- s. der Polizei stellen; خودرا به پُليس مُعَرِفى کَردَن
Stellenausschreibung; آگَهى ِ اِستِخدام
stellig;
- eine dreistellige Zahl; يِک عَدَد ِ سه رَقمى
Stellmacher; چَرخه ساز
Stellung; موضِع
- Stellung, Ansehen; مَنزَلَت
- (klare) Stellung beziehen; موضِع  اِتِخاذ کَردَن ،  مُحکَمى ـ ، موضِع را گِرِفتَن
- Stellung des Feindes (*: Lager); موضِع ِ اُردوى ِ دُشمَن
- die Armee begibt s. in Stellung; لَشکَر صَف ِ آرائى مى کُنَد
- für jem. Stellung beziehen; جانِب ِ کِسى را گِرِفتَن
- in meiner Stellung; به مَثابة مَن
- unter ihnen hat er eine besondere Stellung; دَر ميان ِ آنها جايگاه ِ خاصى دارَد
Stellungnahme; اظِهار ِ نَظَر، موضِعگيرى
Stellungskrieg; جَنگ ِ موضِعى، جَنگ ِ بى تَحَرُک
stellvertreten; جاى ِ کِسى را گِرِفتَن
- stellvertretender Parteivorsitzender; مُعاوِن ِ حِزب، نايِب ِ رَئيس ِ حِزب
- stellvertretender Direktor; مُعاوِن ِ مُدير
- stellvertretendes Mitglied; عُضو ِ جانِشين
Stellvertreter; (pl.) جانِشين، مُعاوِن، جاى گُزين، خَليفه (خَلَفاء)، نايِب، نَمايَندة صاحِب
- und mit 2 Stellvertretern; و دو نَفَر ِ عُضو ِ عَلى اَلبَدَل
Stellvertretung; نيابَت، وِکالَت، خَليفه گَرى و قائِم ِ مَقام
Stelzen; چوب پا
Stemmeisen; مَغار، قَلَم ِ شيار کَنى
Stempel; مُهر
- Stempel (biolog.); خامه، گَردَن ِ تُخمدان ِ گُل، مادِگى ِ گُل
- jem. den Stempel aufdrücken als Dieb; اَنگ ِ دُزد بودَن به کِسى زَدَن
stempeln; مُهر زَدَن
Stengel; ساقه
Stenograph; تُندنِويس
Stenographie; تُندنِويسی
Steppe; اِستِپ
steppen; بَخيه زَدَن، دوختَن
Sterbebett;
- auf dem Sterbebett liegen; دَر بَستَر ِ مَرگ خوابيدَن
Sterbehilfe; مَرگ بَراى ِ رَفع ِ رَنج، کُشتَن ـ
sterben; فوت کَردَن، رِحلَت ک.، مُردن، جان سِپُردن
- vor Hunger sterben (nicht ernst gemeint); دِلَم به ضَعف رَفت
- vor Kummer sterben; از غُصه دِق کَردَن
- er stirbt vor Angst; زَهرة او آب مي شَوَد
- er stirbt langsam; او کَم کَم جان به سَر شُده
- irgendwann stirbt jeder; اَلان اين دَم آن دَم است که تَمام کُنَد
- er wäre beinahe gestorben; چيزى نَمانده بود که از پاى دَر آيَد
- und wenn sie nicht gestorben sind, dann leben sie noch heute; قِصة ما بِسَر رِسيد کَلاغه به خانه اش نَرِسيد
- im Sterben liegen; دَر حال ِ جان کَندَن بودَن
- jem., der im Sterben liegt; (pl.)  (مُحتَضِر (مُحتَصِرين
- das Sterben erleben; جان دادَن ِ مُحتَضِررا ديدَن
sterblich; مُردَنى، فانى
Sterbliche; زَمانيان
Sterblichkeit; مَرگ و مير، مُتَوَفيات^
stereotyp; يِکنَواخت
- Berufsstereotyp; رَفتار ِ قالِبى ِ شُغلى
steril; عَقيم، سَتَروَن
- steril, unpersönlich; خُشک
Sterilisation; سَتَروَنى، تَعقيم
Stern; (pl.)  (کوکَب (کَواکِب)، سِتاره (سِتارِگان
- Abendstern; سِتارة مَغرِب، ـ شَبکِش
- Sternbild des Südens; بُروج ِ جِنوب
Sternwarte; رَصَد خانه
Stethoskop; گوشى ِ طَبى
stetig; داِئم، مُدام، پِى در پِى
stets; هَميشه، هَمواره
Steuer; رُل، فَرمان، غَربيل ِ فَرمان، سُکان
- Steuer (finanz.); ماليات
- Steuern einziehen; تَحصيل ِ ماليات
- Erbschaftssteuer; ماليات بَر اِرث
- Kopfsteuer; جِزيه
- Vermögenssteuer; ماليات بَر دارائى
Steueraufkommen; دَر آمَدهاى ِ مالياتى، عايِدات ِ ـ
Steuerbegünstigung; اِمتياز ِ مالياتى
Steuerberater; مُشاوِر ِ مالياتى
Steuererhebung; اَخذ ِ ماليات
steuerfrei; مُعاف از ماليات
Steuerhinterziehung; طَفره از پَرداخت ِ ماليات
steuerpflichtig; ماليات پَذير، مَشمول ِ ماليات
Steuerrad; رُل، فَرمان، غَربيل ِ فَرمان، سُکان
Steuersystem; نِظام ِ مالياتى
Steuerung; کُنترُل، تَنظيم
Steuerzahler; ماليات بِده
Stich;
- jem. im Stich lassen; کِسى را قال گُذاشتَن، ـ خِذلان کَردَن
- mit einem Stich von Demokratie; با ضَبَغة دِموکراسى
- er kann bei ihr keinen Stich machen; زياد هَم چَنگى به دِلِش نِمى زَنَد
- Wespenstich; نيش ِ زَنبور
Stichel; قَلَم تَراش
sticheln; زَخم ِ زَبان زَدَن، توى ِ کوک ِ کِسى رَفتَن
stichhaltig;
- stichhaltiges Argument; دَليل ِ مُحکَمى
- seine Entschuldigung war nicht stichhaltig; عُزر او مَسموع نَبود، ـ وارِد نَبود
Stichprobe; آزمايِش ِ بيقاعِده
Stichsäge; اَرة نوکى
Stichtag; روز ِ مُقَرَر
Stichwahl; اِنتِخاب ِ نَهائى
sticken; گُلدوزى کَردَن
- gestickter Gürtel; کَمَربَند ِ طَراز#�

Stickerei; بُرودِرى، گُلدوزى
stickig; خَفَقان آور، خَفه کُنَنده
- stickiger Geruch; بوي ِ زُهم
Stickstoff; آزُت
- Stickstoff & Sauerstoff; آزُت و اُکسيژِن
stiebitzen; ناخُنَک زَدَن، کِش رَفتَن
Stief-;
- bruder; نابَرادَرى، بَرادر ِ ناتَنى
- schwester; ناخواهَرى، خواهَر ِ ناتَنى
- eltern; والِدِين ِ ناتَنى
- mutter; نامادَرى، مادَر اَندَر
- vater;  ناپدَرى، پِدَر اَندَر
- kind; نافَرزَندى، فَرزَند ِ ناتَنى، ـ خوانده، ـ اَندَر
- sohn; ناپِسَرى، پِسَر اَندَر
- tochter; (pl.)  (نادُختَرى، رَبيب (رَبيبه
Stiefel; چِکمه، پوتين
- Schnürstiefel; چِکمه هاى ِ بَند دار
Stiefmütterchen; بَنَفشة فَرَنگى
Stiel; ساقه
- Axtstiel; دَستة تَبَر
Stier; گاو نَر
Stierkampf; گاو بازى
stiften; وَقف کَردَن
Stiftung; (pl.)  (بُنياد، وَقف (اوقاف
Stiftungsvermögen; موقوفات
Stil;
- Baustil; نَسَق  ِساختِمان
- Stil & Anordnung (literat.); سياق و نَظم
- Führungsstil; سَبک ِ رَهبَرى
- Regierungsstil; سَبک ِ حُکومَت
- Schreibstil; سَبک
still; آرام، ساکِت
- still & erhaben; آرام و با وَقار، بى شَر و شور
- stiller Ort; جای ِ دِنجی
- stille Wasser sind tief; فِلفِل نَبين چه ريزه!، آب زير ِ کاه
- je stiller, desto besser; هرچه بى سَر و صِداتَر بِهتَر
Stille; سُکوت، خاموشى، آرامِش
- im Stillen; دَر نَهان
- im Stillen vor s. hin lachen; هِق هِق خَنده
- für mich die Stille suchen; با خودَم خِلوَت كُنَم
stilllegen; خواباندَن
- das Auto stilllegen; ماشين را خواباندَن
- die Fabrik ist stilllgelegt; کارگاه بِحال ِ تَعطيل اُفتاده
Stilllegung (Arbeit); تَعطيل شُدَن، بَسته ش
stillen; شير دادَن
- das Blut stillen; خون را بَند آوَردَن
- das Bedürfnis von jem. stillen; نياز ِ کِسى را بَر آوَرده کَردَن
Stillhalteabkommen; موافِقَتنامة سُکون
stillschweigend; دَر خَفا
- stillschweigend akzeptieren; چِشم و گوش بَسته قَبول کَردَن
- stillschweigendes Einverständnis; رِضايَت ِ ضِمنى، مُوافِقت ِ ضِمنى، سُکوت عَلامَت ِ رِضا
Stillstand; اِسکات، سُکونَت
- Stillstand hervorrufen; وَقفه ايجاد کَردَن
- zum Stillstand kommen; به وُقوف رِسيدَن، به تَوَقُف ر.، وَقفه پيش آمَدَن
- Stillstand der Blutung; رُکود ِ َدم
- der Regen kommt zum Stillstand; باران بَند آمَد
stillstehen; به سُکوت رِسيدَن
- vor Freude konnte er nicht stillstehen; از شادى روى ِ پاى ِ خود بَند نَبود
Stillung;
- Stillung des Durstes; اِسقاء، رَفع ِ تِشنِگى
Stimmabgabe;
- briefliche Stimmabgabe; رأى گيرى ِ کَتبى
- geheime Stimmabgabe; رأى گيرى ِ سِرى
- namentliche Stimmabgabe; رأى گيرى بِنام
Stimmanteil;
- Partei mit dem grössten Stimmanteil; حِزب با بُزُرگتَرين سَهم ِ آراء
Stimmband; طِناب ِ صوتى
stimmberechtigt;
- stimmberechtigtes Mitglied; عُضو با حَق ِ رأى
Stimmbruch; تَغيير ِ صِدا دَر هَنگام ِ بُلوغ، صِدای ِ دو گِره
Stimme; آواز، آوا، نَوا، صِدا
- Nein - Stimme; رأى ِ مَنفى
- sie gaben ihre Stimme für ...; رأى به ... دادَند
- mit unterdrückter Stimme; مِن مِن کَنان
- der Ton seiner Stimme macht auf die Gefahr aufmerksam; صِداى ِ او خَطَرى را هُشدار مى دَهَد
- Delegiertenstimme; (pl.) رأى ِ (آراى) نَمايَنده
stimmen;
- für jem. stimmen; به کِسى رأى دادَن
- das stimmt nicht; حَقيقَت نَدارَد، از اين خَبَرها نيست
- keines seiner Worte stimmt; از اين حَرفهاى ِ صَد تا يِک غاز زياد است
- alles stimmte haargenau; مو لاى ِ دَرزَش نِمى رَفت
- Gitarre stimmen; گيتار کوک کَردَن
Stimmenanteil; سَهم ِ آراء
Stimmenauszählung; شُمارِش ِ آراء
Stimmenfang; شِکار ِ آراء
Stimmenrückgang; کاهِش ِ آراء
Stimmenthaltung; اِمتِناع از دادَن ِ رأى، رأى ِ مُمتَنَع
Stimmenverlust; باختَن ِ آراء
Stimmenzahl; تِعداد ِ آراء
- höchste Stimmenzahl; بيشتَرين رأى
Stimmgabel; دياپازُن
stimmhaft (Laut); مُصَوَت، صوتى
stimmlos; غِير ِ صوتى
Stimmrecht; حَق ِ رأى
Stimmung; جَو
- die gute Stimmung macht mir Spass; از خوش گُذَرانى ِ اينجا لِذَت مى بَرَم
Stimmungen; اِحساسات
- die Stadt zeigt s. in bester Feststimmung; شَهر حال و هَوای ِ روزهای ِ عِيد را دارَد
Stimmungsmache; نُفوذ، تَبليغات، تأثير
- stimmungsmachende Propaganda; تَبليغات ِ خو سازى
Stimmzettel; وَرَقه رأى
Stimulans; مُحَرِک، اَنگيزه، مُهَيِج
stimulieren; تَحريک کَردَن
- sexuell stimuliert werden; بود بود مي شَوَد
Stimulierung; اَنگيزِش، تَحريک
stinken; مُتَعَفِن بودَن، بوى ِ بَد دادَن
- es stinkt wie im Schweinestall; بوي ِ سَگدوني مي دَهَد
stinkend; بويناک
Stipendium; شَهريه، مَدَد ِ مالى
Stirn; پيشانه، جَبين
- Stirn runzeln;  .سِه گِره دَرهَم کِشيدَن، اَخمهارا تو هَم کَردَن، روى ِ خودرا تُرش ک
- du brauchst nicht die Stirn zu runzeln; اَخم نَکُن
Stirnband; عِصابه، پيشانه بَند
Stirnfalten (zwischen den Augenbrauen); سِگَرمه
stirnrunzeln; اَخم را دَر هَم کَردَن
Stirnwand; ديوار ِ مُقابِل
stöbern;
- nach Herzenslust stöbern; هَر چه مى خواهَد بِجويَد
Stochastik; اِتِفاق
- stochastischer Prozess; پروسة اِتِفاقى
stochern;
- er stochert mit Holz im Feuer herum; يِک تيکه هيزُم را توى ِ آتَش زير و رو مى کُنَد، ـ پَس و پيش مى زَنَد
- im Schloss herumstochern; با قُفل کَند و کو کَردَن
Stock;
- im 2. Stock; دَر طَبَقة دُوُم
- Stock; عَصا
- Holzstock; عًصاي ِ چوبي
- Zeigestock; چوب ِ اَلِف
Stöckelschuhe; پاشنه نَخواب، کَفش ِ پاشنه دار
stocken; مَکس کَردَن
- stockend sprechen; بُريده بُريده حَرف زَدَن
stockfinster;
- es ist stockfinster; چِشم چِشم را نِمى بينَد
Stockflecken; لَکة کَپَک
stockig;
- die Milch ist stockig; شير کَپَک زَده است
Stockschlag;
- jem. Stockschläge auf die Hand geben; کَف ِ دَست ِ کِسى را تَرکه زَدَن
Stockung; راه بَندان، ـ ِ مَسدود، تَوَقُف
Stockwerk; طَبَقه
Stoff; پارچه
- Stoff, Materie; ماده
- eine Art Kleiderstoff; ماهوت
- Stoff aus Ziegenwolle; بَرَک
Stofffetzen; جُل، تِکه، پارچه
Stoffwechsel; تَجزيه و تَرکيب ِ مَواد، سوخت و ساز
stöhnen; آه و ناله کَردَن، آه کِشيدَن
- stöhnend, nach Luft schnappend; هِن هِن کُنان
Stoiker; (pl.)  (رَواقى (رَواقيون
stoisch; رَواقى
Stollen; تونِل
- Gebirgsstollen; نَقب ِ کوه
stolpern;  .پيل پيلى رَفتَن، پا ليز خوردَن، سِکَندَرى خ
- Stolperschnur für jem. legen; زِه کِسى را کِشيدَن
Stolperstein;
- Stolpersteine für das weitere Vorgehen; چالِشهاي ِ پيش رَوي
stolz; بَر اَفراشته، مَغرور
- ich bin stolz darauf; به اين مُباهات مى کُنَم، من اِفتِخار مى کُنَم، از اينکه مُفتَخِرَم
- er ist stolz wie ein Gockel; از دَماغ ِ فيل اُفتاده است
Stolz (m); باد و دَم، باد ِ سَر، غُرور
- sein Stolz wurde verletzt; به غُرور ِ او لَطمه وادار شُد
- mit Stolz; با تَبَختُر
- mit ganzem Stolz; با تَبَختُر ِ تام
- mit Stolz geschwellter Brust; آدم عَصا قورت داده، باد اَنداخه زير ِ بَغَل
- er ist der Stolz der Familie; او ماية فَخر و مُباهات ِ خانِواده است
stolzieren; خَراميدَن
Stoma; روزَنه دَر گياهان
Stop; تَوَقُف
- Stop! (bei Tieren);  !چُش
stopfen; چَپاندَن
- in die Tasche stopfen; توى ِ کيف چَپاندَن
- stopfen, flicken; رُفوگَري کَردَن
- gestopfte Kleidung; لباس مُرَقَع
Stopfen (m); دَر
- Stopfen, Flicken; رُفوگَري
Stoppeln; کُلَش
- Bartstoppeln; تَه ِ ريش
- Getreidestoppeln; خاشاک
stoppen; تَوَقُف کَردَن، موقوف ک.، نِگَه داشتَن
- den Durchfluss stoppen; عُبوررا گير کَردَن
- er stoppte; او تَوَقُف کَرد، او به عَقَب لَنگَر داد
Stoppschild; تابلوى ِ ايست
Stoppuhr; ساعَت ِ اِستُپ
Stör; سَگ ماهى
Storch; لَک لَک
Stores; پَرده
- blumiger Store; پَردة تور ِ گُلدار
stören; کِسى را ايذاء کَردَن، ـ مُخَل ک.، ـ زَحمَت دادَن
- den Genuss von jem. stören; لِذَت ِ کِسى را مَخدوش کَردَن
- ich hoffe, ich störe Sie nicht; اُميدوارَم که مُزاحِم ِ شُما نيستَم
- ich wollte dich nicht stören; خيال ِ آزارِت را نَداشتَم
- ich störe zu einem ungünstigen Zeitpunkt; بَد موقع مُزاحِم شُدَم
- er stört uns ständig; هَميشه حال ِ مارا مى گيرَد، او موى ِ دَماغ ِ ما مى شَوَد
störend; مُخِل
- hindern & störend; مانِع و رادِع
- dass, was s. störend zwischen uns stellte; چيزى که بِين ِ ما حائِل شُده است
- die störenden Tonnen liessen es nicht zu; تُنهاى ِ حائِل نِمى گُذاشت
Störenfried; تَحريک کُنَنده
- Störenfriede der Klasse; شُلوغهاى ِ کلاس
Störquelle; مَنبَع ِ اِغتِشاشات ِ صوتى
störrisch; چَموش بودَن، جُفتَک اَنداختَن
- störrisch, eigensinnig; کَله شَق، يِکدَنده
- störrisch sein; لَج کَردَن
Störsender; فِرِستَندة پارازيت
Störung; اِختِلال
- Störung (beim Radio); پارازيت، ايراد
- Störung der öffentlichen Ordnung; اِختِلال ِ نَظم ِ عُمومى
- eine Störung tritt ein; وَقفه پيش مى آيَد
- das Telefon verursacht eine Störung (Unterbrechung der Leitung); تِلِفُن مُزاحِم دارَد
- ohne Störung; دور از بِگير و بِبَند و جار و جَنجال
- Geistesstörung; خَبط ِ دَماغ، اِختِلال ِ روحى
- die Zeit war nicht frei von Störungen; اين وَقت خالى از مُزاحِمَت نِمى شُد
störungsfrei; بِدون ِ پارازيت، ـ اِغتِشاشات
Stoss; ضَربه
- Genickstoss versetzen; قَفا زَدَن
Stossdämpfer; ضَربه گير
Stössel; کوبه، دَستة هاوَن
stossen;
- jem. stossen;  .به کِسى پُشت ِ پا زَدَن، ضَربه ز
- s. stossen; تَصادُم کَردَن، به چيزى خوردَن
- auf etwas stossen; به چيزى بَرخوردَن، چيزى را پِيدا کَردَن
- stossende Kuh; گاو ِ شاخ زَن
Stossseufzer; تِلِنگ دَر رَفتَن
Stossstange; سِپَر ِ ماشين
stossweise; موج دار
Stosszahn; يَشک، دَندان ِ ناب
stottern; لُکنَت خوردَن، با لُکنَت حَرف زَدَن، کُند زَبان، گِرِفتَن ِ زَبان
- er stottert; زَبانَش گِرِفته است
- er stotterte s. was zurecht;  ِ از اين زَبان بَسته هارا لوله کرد توى
Stottern; تِته پِته، لِکنَت ِ زَبان
- ins Stottern kommen;  به تِته پِته اُفتادَن
stotternd; تِته تِپه کُنان
- stotternd sagte ich ...; تِته تِپه کَردَم و گُفتَم
Strafaussetzung; تَعطيل ِ مُجازات
- bedingte Strafaussetzung; کِيفَر ِ تَعليقى
strafbar; مُجرِم، سَزاوار ِ مُجازات
- er macht s. strafbar; او مُرتَکِب جُرم ميشود
Strafbefehl; حُکم ِ مُجازات
Strafe; سَزا، نَسَق، تأديب، مُجازات، کِيفَر، جَزا، تَنبيه، تَعزير
- bis zum letzten Pfennig die Strafe bezahlen; تا ريال ِ آخَر جَريمه را پَرداختَن
- Strafe für andere erleiden; چوب ِ کِسی را خوردَن
- das ist die gerechte Strafe für seine Tat; حَق ِ کاررا کَف ِ دَستِش گُذاشته است
- einer (exemplarischen) Strafe zugeführt worden sein; چيزي مُثله شُده
strafen;  .نَسَق کَردَن تَنبيه ک
straff; مُحکَم
- straffe Organisation; سازِمان ِ مُنجِم
- straffes Gewebe; بافت ِ مُتَراکِم
straffällig; مُقَصِر، مُجرِم
- er ist straffällig geworden; او مُرتَکِب ِ جُرم شُده
straffrei; مُعاف از کِيفَر
Strafgerichtshof; دادگاه ِ جِنائى
Strafgesetzbuch; آئين ِ کِيفَر
- allgemeines Strafgesetzbuch; آئين ِ کِيفَر هَمِگانى
Strafmass; ميزان ِ جَزاء
Strafmilderung; تَخفيف ِ مُجازات
Strafprozessordnung; قانون ِ مُحاکِمه
strafrechtlich;
- strafrechtliche Verfolgung; تَعقيب ِ کِيفَرى
Strafregister; سابِقة کِيفَرى، سوء ِ سابِقه، سوء ِ پيشينه، فِهرِست ِ مُجرِمين
Strafstoss; پِنالتى ِ گُلى ِ حَوالة دَروازه،  پِنالتى
Strafverfahren; دادرِسى ِ کِيفَرى
Strafversetzung; اِنتِقال ِ تأديبى
Strafvollzug; اِجراى ِ کِيفَر
Strahl; (pl.)  (پَرتو، شُعاع (اَشِعِه
strahlen; دِرَخشيدَن، تَشَعشُع کَردَن، پَرتو اَفکَندَن
strahlend; بَراق، دِرَخشَنده
Strahler; نور اَفکَن
Strahlung; تَشَعشُع، تابِش
- radioaktive Strahlung; تابِش ِ راديوئى
strahlungsarm;
- strahlungsarmer Bildschirm; مُنيتور با تَشعَشُعات ِ زيان آوَر ِ کَم
Strahlungsdosis; اَندازة تَشَعُشعى
strammstehen; شَق ايستادَن
strampeln; دَست و پا زَدَن
Strand; (pl.)  (کِنار ِ دَريا، لَب ـ، ساحِل (سَواحِل
- am Strand spielen; ماسه بازي کَردَن
Strandhütte; پِلاژ
Strapaze; زَحمَت
strapazieren; زَحمَت داذَن، دَريغ داشتَن
Strasse; خيابان، شوسه
- einer, der auf der Strasse lebt (*: obdachlos); قَلَندَر
- Entlastungsstrasse; چاده بَراى ِ تَسهيل ِ عُبور و مُرور
- Landstrasse; کوره راه، شوسه
- Ringstrasse; چادة کَمَربَندى
- Umgehungsstrasse; خيابان ِ دوره اى
Strassenbahn; ترامواى
Strassenbaustelle; تَعميرات ِ جاده
Strassengebühr; جَواز، عَوارِض
Strassenkämpfe; مُبارِزات ِ خيابانى
Strassenkehrer; رُفتگَر، سُپور
Strassenmusikant; نَوازَندة دوره گَرد
Strassensperre; سَد ِ خيابانى، مانِع ِ ـ، راه بَند
Straßenunterbau; زير سازي ِ جاده
Strassenverkehrsamt; اِدارة راهنَمائى و رانَندِگى
Strassenwalze; غَلطَک ِ چاده سازى
Strategie; اِستراتِژى، راهبُرد، نيروبُرد، سوق اُلجِيش
- Offensivstrategie; اِستراتِژى ِ تَهاجُمى
strategisch; از ديد ِ اِستراتِژي
- die strategische Lage eines Landes; موقِعيَت ِ سوق اُلجِيشى ِ مَنطَقه
Stratosphäre; اِستراتوسفِر، گُلخانه
sträuben (- s.); سيخ شُدَن، مُقاوِمَت کَردَن
Strauch; بوته
- (trockener) Strauch (z.B. Wüstengewächs); دِرَخت ِ عَرعَر
straucheln;  .پيل پيلى رَفتَن، پا ليز خوردَن، سِکَندَرى خ
Strauss;
- Strauss (Vogel); شُتُر مُرغ
- Blumenstrauss; دَسته گُل
Strebe; شَمع، تير
streben;
- streben nach; به چيزى پَر و پا اُفتادَن
Strecke; مَسافَت، فاصِله، مَسير
strecken; کِش آمَدَن، کِشيدَن، طَويل شُدَن
- den Arm strecken; بازو را دِراز کَردَن
- sie strecken s. und ..; بَدَنِشان را کِش و قوسى مى دَهَند و
- streckterlängs daliegen; دِراز به دِراز اُفتاده
- sie ist streckterlängs hingefallen; او قَد تا قَد دِراز کِشيده بود
streckziehen (z.B. Eisen); دِراز کَردَن
Streich; کَلَک، حُقه بازي، حيله
