Vabanquespiel; ماجِرا
- in s. versunken; سَر دَر گَریبان
- jem. ist versunken in den Anblick von ...; کِسى به چیزى خِیره مى شَوَد
Version;
- die Version des Gedichtes; شِکل ِ شِعر
- die Version der Geschichte; صورَت ِ حِکايَت
- es gibt mehrere Versionen des Textes; طَرحهاى ِ مُختَلِفى از این مَتن موجودَند
versöhnen; آشتى دادَن
- s. versöhnen; آشتى کَردَن
- wer fängt an, s. mit ... zu versöhnen?; کى مى رَوَد که تَرتیب ِ آشتى با ... را بِدَهَد؟
- versöhnend; مُصلِح
Versöhner; آشتى دَهَنده
Versöhnung; آشتى، مَصلَحَت
- Uneinigkeit findet Versöhnung; تَشَتُت اِلتیام مى آبَد
versorgen;  .رازِق، تَدارُک دیدَن، تَغذیه کَردَن، تَهیه ک
- seine Familie versorgen; خانِوادهٔ خودرا اِعاشه کَردَن، به خانِواده اَش رِسیدِگى کَردَن
- jem. versorgen (z.B.: bei Pflegefall); کِسی را تَر و خُشک کَردَن
Versorger; رازِق، رَزاق
- Versorger (Gott); قاسِم اُلاَرزاق
Versorgung; اِرتِزاق، تَدارُک، رِسیدِگى
- ärztliche Versorgung; مُراقِبَت ِ پِزِشکى
- Energieversorgung; اِنِرژى رِسانى
Versorgungsamt; مَدَد کارى ِ اِجتِماعئى
Versorgungsgüter; کُالاهاى ِ تَدارُکاتى
Versorgungsnetz; شَبَکهٔ تَغذیه
Versorgungsoffizier; اَفسَر ِ تَدارُکات
verspachteln; بِتونه کارى کَردَن
verspannen;  .مَهار کَردَن، مُحکَم ک
Verspannung (im Rückenbereich); قَلِنج (ـ ِ پُشت، ـ ِ شانه
verspäten (s. -); تأخیر کَردَن
- er verspätet s.; دیرِش می شَوَد
- etwas verspäten lassen; چیزى را به تأخیر اَنداختَن
- hast du dich verspätet?; دیرِت شُده ؟
- ich verspäte mich nicht gerne; مَن اَهل ِ تأخیر مُدَت نیستَم
Verspätung; تأخیر
versperren;
- den Weg versperren; راه را سَد کَردَن، - بَستَن
- das Auto versperrt die Ausfahrt; ماشین جِلوی ِ گاراژ را می گیرَد
verspielen;
- ein verspieltes Kind; يِک بَچهٔ بازیگوش
- wenn ..., dann hätte ich verspielt (i.S.: verloren); اَگَر ... حِساب ِ مَن پاک بود
verspotten; به باد ِ مَسخَره گِرِفتَن، فُحش دادَن، تَضحیک کَردَن، دَست اَنداختَن
versprechen; قول دادَن
- s. versprechen; تُپُق زَدَن
- jem. etwas versprechen; قول ِ چیزى را به کِسى دادَن
- ich verspreche mir Hilfe; چَشم ِ هَمراهى از کِسى داشتَن
Versprechen (n); نَوید، وَعَده، قول
- Versprechen einlösen; قول ِ خودرا ایفاء کَردَن
versprengt; پَراکَنده، تَراوَنده، از هَم پاشیده
- es gab ein paar versprengte; تَک و توک بودَند
Versprochenes; (pl.)  (موقوفات، موعود (مَواعید
verspüren;
- ich verspüre viel Achtung für Sie; چه اِحتِرام بَراى ِ شُما قائِلَم
- er verspürt ein Unbehagen; او اِحساس ِ ناآرمى مى کُنَد
verstaatlichen;  .مِلى کَردَن، دولَت ک
Verstand; عَقل، بُرهان، مَنطِق، شور
- Verstand verlieren; خَبط ِ دَماغ آوَردَن، هُشیار نَبودَن، خُل شُدَن
- du bist nicht bei Verstand; حال نَداری
- gesunder Menschenverstand; عَقل ِ سَلیم
- Sachverstand; کاردانى
verständig;
- verständig sein; روشَن بین بودَن، سَرِشان به عَقل مى آيَد
- verständiger Mensch; آدَم ِ فَهیم
Verständigung; تَفاهُم، تَوافُق
- zu einer Verständigung kommen;  .به تَفاهُم رِسیدَن، به تَوافُق ر
- Verein für internationale Verständigung; اَنجُمَن ِ تَشَنُج زِدائى ِ بِین اُلمِلَلى
verständlich; هوشمَندانه، گویا، قابِل ِ فَهم
- leicht verständlich; قَریب اُلفَهم، سَهل اُلاِدراک، زود فَهم
- schwer verständlich; صَعب اُلاِدراک، مُشکِل فَهم
- kaum verständlich sagte ich ..; تو لَبى گُفتَم
- er kann s. nicht verständlich ausdrücken; او نِمى تَوانَد بِطور ِ مَحسوس مَطلَب را حالى کُنَد
- jem. verständlich machen;  .به کِسى حالى کَردَن، تَفهیم ک
- das ist mir nicht verständlich; حالى اَم نیست، بَراى ِ مَن گویا نیست
Verständlichkeit; تَفَهُم، تَفاهُم
Verständnis; دِرآيَت، فِراسَت
- tieferes Verständnis von ..; دَرون نِگَرى ِ بیشتَرى از
- das Verständnis von jem. für etwas; تَعقُل ِ کِسى دَر مورِد ِ ...، تَفَهُم ـ ، بَصیرَت ـ
- um ein besseres Verständnis zu bekommen; تا تَفَهُم ِ بِهتَرى حاصِل شَوَد
- Bücher, die zum Verständnis einer Sache dienen; کتُب ِ مَرجَع
verständnislos;
- er sah mich verständnislos an; يِك نِگاه ِ سَفیه بِمَن کَرد
verstärken;  .تَقويَت کَردَن، تَشدید ک
- s. verstärken; تَشدید شُدَن
Verstärker (phys.); آمپلى فايِر
- Bremskraftverstärker; تُرمُز بوستِر
Verstärkung; تَحکیم، تَقويَت
verstauben;
- der Gesetzesentwurf verstaubt in den Archiven; لايِحه دَر بایگانى خاک مى خورَد
verstauchen; رَگ بِرَگ کَردَن، دَررَفتَن
- verstaucht; از جا دَر رَفته
Verstauchung; رَگ بِرَگ شُدِگى، از جا دَر رَفتِگى
Versteck; بُزخو، مَخفى گاه، مَحَل ِ اِختِفاء، کَمینگاه
- Versteck (Rückzugsort); پَس و پَناه
- s. aus dem Versteck begeben; خودرا آفتابی کَردَن، از مَخفیگاه ِ خود بیرون آمَدَن و دَر مَلا ِ عام ظاهِر شُدَن
verstecken;  .مُتَوارى شُدَن، قائِم ش.، پِنهان کَردَن، جاسازى ک.، کَمین ک
- er hat s. versteckt; او غِیبَش زَده بود، از زیر ِ ... زده بود
- s. im Wald verstecken; به جَنگَل زَدَن
- s. verstecken (i.S.: s. zurückziehen); خودرا پَس و پَناهی قايِم کَردَن
- Urkunde verstecken; سَنَدرا جاسازى کَردَن
- beim Kaufen sind auch Lügen versteckt; دَر خَرید هَم دُروغ مُستَتِر هَستَند
- s. hinter Paragraphen verstecken; تَوَسُل به مُقَرَرات بُردَن
Versteckspiel; غايِب شُدَنَک، قائِم ِ موشَک بازى
Verstehbarkeit; تَفهیم
verstehen;  .دَر یافتَن، حالى شُدَن، فَهمیدَن، دَرک کَردَن، دَستَش آمَدَن، دَستگیر ش
- zu verstehen geben, durchblicken lassen; با اِشاره مُتَوَجه ِ چیزی کَردَن
- wir verstehen einander gut; ما با هَم خوب سَر می کُنیم، - می سازیم
- jem. zu verstehen geben; تَفهیم کَردَن، فَهمانیدَن، حال ِ کِسی کَردَن
- wegen ... verstand er (verstanden sie), ...; هَوای ِ ... دَسَش آمَد (دَستِشان آمَد) که
- verstehen als; به شُمار آوَردَن
- um zu verstehen geben, dass ...; تا بِرِسانَد که
- sie verstehen jetzt, dass ...; سَرِشان به عَقل مى آيَد که
- damit du das besser verstehst; تا این را بِهتَر بِفَهمى
- man muss das gut verstehen; بايَد از این چیزها شیر فَهم بِشَوَد
- die verstehen doch auch nichts; خود ِ آنها هَم چیزى سَرِشان نِمى شَوَد، آنها از این چیز سَرِشان دَر نِمى آيَد، عَقلِشان نمى رِسَد
- die Welt nicht mehr verstehen; اِسفِناج سَبز شُدَن از کَلهٔ کِسی، شاخ دَر آوَردَن
- sie verstand nicht, worum es ging; او نِمیدانِست کُجا به کُجاست
- er tut so, als würde er nichts verstehen; او خودَش را سَر به کوچهٔ عَلى چَپ مى زَنَد
- die Beziehung ist so, dass man s. gut versteht; رابِطه تَفاهُم آمیز است
- Entschuldigung, ich verstehe nicht ganz; بِبَخشید به جا نِمی آوَرَم، بِبَخشید حَرفِتان سَرَم نِمی شَوَد
- langsam fange ich an, die Details seines Lebens zu verstehen; کَم وبیش تَه و توی ِ زِندگی اش را دَر می آوَرَم
- verstanden werden als; به شُمار آمَدَن
Verstehen (n); فَهیمى
versteifen;
- s. auf eine Sache versteifen; خودرا به چیزى چَسپیدَن
- seine Knochen versteifen s. langsam; اُستُخوانهايَش دارَند سِفت می شَوَند
versteigern; به مُزايِده گُذاشتَن، حَراج کَردَن
Versteigerung; مُزايِده، حَراج
versteinern; سَنگواره، تَبدیل به مُستَحاث شُدَن
- wie versteinert stehen bleiben; کِسى سَر ِ جايَش خُشکِش زَده باشَد
Versteinerung; مُستَحاث، سَنگ شُده
verstellen;
- die Uhr verstellen; ساَعت را تَغییر دادَن
- s. verstellen, heucheln;  .توريَت کَردَن، توریه ک. ، تَقیه ک.، وانِمود ک
- ohne s. zu verstellen; بِدون ِ تَظاهُر
- er verstellte s.; او وانِمود کَرد
Verstellung;
- Verstellung, Heuchelei; توريَت، توریه، نِفاق، اِختِفا
- Verstellung der Ereignisse; تَقَلُب ِ حَوادِث
verstimmt;
- verstimmt (Musikinstrument); ناکوک
- die Geige ist verstimmt; ویولون ناکوک است
- verstimmt sein (Gefühl);  .کَدِر بودَن، تُرش رو ب
- sie war verstimmt (Gefühl); او دَمَغ شُد
Verstimmung; کُدورَت
verstockt;
- sein Herz ist verstockt; قَلبَش سَخت شُده است
verstohlen; دُزدَکى، يَواشَکى، زیر چِشمى
- verstohlen gucken; زیر چِشمى نِگاه کَردَن
verstopft;
- verstopft sein (z.B. Loch); مَسدود شُدَن، تو گِرِفته
- verstopft sein (Magen); يُبوس شُدَن
Verstopfung;
- Verstopfung der Gefässe; اِنسِداد ِ عُروق
- an Verstopfung leiden; يُبوسَت داشتَن
- wenn wir nicht an Verstopfung leiden, ...; اَگَر شِکَمِمان قَبض نَباشَد
verstorben; فَقید، مُتَوَفا
- verstorbener Lehrer; مُعَلِم ِ مُتَوَفىٰ، ـ مَرحوم
- zu früh verstorben; جَوانمَرگ شُدَن
- der verstorbene Nachbar, Herr ..; هَمسایهٔ مِهرَبان ِ شادرَوان آقاى ِ
Verstorbener; شادرَوان، مَرحوم
verstört;
- er war ziemlich verstört; او پَکَر و مُکَدَر بود
- verstörtes Kind; بَچهٔ شیبان
Verstoss;
- Verstoss gegen; تَخَلُف از
- 10 Fälle von Verstoss gegen die Feuerpause; دَه مورِد ِ نَقض ِ آتَش بَس
verstossen;
- verstossen, ausgestossen; مَردود
- gegen die Anweisungen verstossen; از دَستورات تَخَطى کَردَن
- gegen das Recht von jem. verstossen; به حَق ِ کِسى تَجاوُز کَردَن
verstreben;  .سُتون زَدَن، شَمع ز
verstreichen (Datum); وَقت ِ موعِد گُذَشت، ـ سِپَرى شُد
verstreuen; پَراکَنده کَردَن
verstreut; پَراکَنده، پَرا، تَراوَنده، از هَم پاشیده، پَر و پَخش
- die Zeitungen lagen verstreut herum; روزنامه ها پَخش و پَلا بودَند، - پَر و پَخش شُدَند
verstricken (s. -); تار شُدَن
- jem., der s. in ... verstrickt; کِسى خودرا گِرِفتار ِ ... مى کُنَد
- jem. in Schwierigkeiten verstricken; کِسى را گیر اَنداختَن
verstümmeln;  .ناقِص کَردَن، فَلَج ک
verstummen; از زَبان اُفتادَن، زَبان بَند مى آيَد، گُنگی گِرِفتَن
- bis alles verstummte; تا آخَرین تَک ِ دَستها هَم از صِدا اُفتاد
Versuch; آزمايِش، سَعى، آزمون
- sie unternehmen den Versuch, um ..; آنها سَعى بَر این دارَند تا
versuchen;  .تلاش کَردَن، سَعى ک.، آزمايِش ک.، اِمتِحان ک
- versuchen, zu zerstören; سَعى دَر تَخریب داشتَن
- wenn er es mit Gewalt versucht; اَگَر به زور مُتَوَسِل شَوَد
- jem. versuchen; کِسی را به وَسوَسه کِشیدَن
- Unmögliches versuchen; آتَش از خیار بَرآمَدَن (جَستَن)، اَمری ِ مَمتَنَع و مَحال صورَت بَستَن
Versuchsstadium; دَرَجهٔ آزمايِش
versuchsweise; آزمايِشى، بَراى ِ اِمتِحان
Versuchung; اِغوا، وَسوَسه
- in Versuchung fallen; دِل ِ کِسی غَش رَفتَن
versündigen; مُرتَکِب ِ گُناه شُدَن، گُناه وَرزیدَن
- s. gegen die Gebote Gottes versündigen; از دَستورات ِ خُدا تَخَطى کَردَن
vertagen; موکول کَردَن، به تَعویق اَنداختَن
- eine Konferenz vertagen (*: verschieben); کُنفِرانس را به تَعویق اَنداختَن
Vertagung; تأجیل، بِتَعویق اَندازى
vertäuen; مَهار بَند کَردَن
vertauschen; عَوَضى گِرِفتَن، اِشتِباهاً بَر داشتَن
verteidigen (s. -); از خود دِفاع کَردَن
Verteidiger; مُدافِع
- Pflichtverteidiger; وَکیل ِ تَسخیرى
Verteidigung; مُدافِعه، دِفاع، تَدافُعی
- Landesverteidigung; دِفاع از وَطَن
- Verteidigungshaltung einnehmen; حالَت ِ دِفاعى به خود گِرِفتَن
Verteidigungskampf; جَنگ ِ تَدافُعی
Verteidigungsminister; وَزیر ِ دِفاع
Verteidigungsstellung; موضِعى ِ مُقاوَمَت
verteilen;  .پَخش کَردَن، تَقسیم ک
- verteilend; قَسام
Verteiler;
- Verteiler (Name für Gott); قَسام
- Verteiler (z.B. Zeitung); (pl.)  (توزیع کُنَنده (توزیع کُنَندِگان)، مُوَزِع (مُوَزعِین)، مُقَسِم (مُقَسِمین
Verteilerkasten; جَعبهٔ تَقسیم ِ بَرق
Verteilung; تَقسیم
- Sitzneuverteilung; تَقسیم بَندى ِ کُرسیها
Verteuerung; اَفزايِش ِ قِیمَت
- Verteuerung der Lebenshaltungskosten; گِرانى ِ هَزینهٔ زِندِگى، گِران شُدَن ِ ـ
vertiefen (s. -); غوطه وَر شُدَن، تَعمُق کَردَن
- in das Wort vertiefen und ausloten; دَر کَلَمات غور کَرده و تَه و توى ِ مَطلَب را دَر آوَردَن
- er ist in seine Arbeit vertieft; او سَر گَرم ِ کار ِ خودِش است
Vertiefung; تَعمیق، حُفره، فُرورَفتِگى، گود
- Vertiefung (z.B. zum Einstellen von Gegenständen); پاچال
- Vertiefung der Zusammenarbeit; تَشدید ِ هَمکارى
vertikal; عَمودى
vertilgen; به اِتلاف رِساندَن، مَحو کَردَن
- jem. vom Erdboden vertilgen; دَمار ِ کِسى را بَر آوَردَن
Vertilgung; مَحو
vertonen; آهَنگ ساختن
vertrackt;
- ihre Reaktion in dieser vertrackten Sache ...; واکُنِش ِ او به این توداری ... بود
Vertrag; مُقاوِله، قَرارداد
- Revision eines Vertrages; تَجدید ِ نَظَر دَر قَرارداد
- Vertrag schliessen; مُنعَقِد کَردَن، قَرار دادرا بَستَن
- notariell beglaubigter Vertrag; قَرار داد ِ مَحضَر
- Kaufvertrag; مُعاهِده
- Zeitvertrag; قَرار ِ مُقاطعه
- Zusatzvertrag; قَرارداد ِ اِلحاقی
vertragen;
- schwer zu vertragen, unverdaulich; ناگُوار
- s. vertragen mit (*: auskommen); با کِسى سُلوک کَردَن، ـ سازِش کَردَن
vertraglich;
- vertraglich gebunden; مُکَلَف ِ طِبق ِ قَرار داد
verträglich;
- das ist gut verträglich; این سازگار است، خوش گُوار است
Vertragsabschluss; اِنعِقاد ِ قَرارداد،
Vertragsbruch; پِیمانشِکَنى، نَقض ِ قَرار داد
vertragsbrüchig; پِیمانشِکَن، ناقِض ِ قَرار داد
- werde nicht vertragsbrüchig; زِنهار نَخور
vertragsgemäss; بِموجِب ِ قَرار داد، طِبق ِ ـ
Vertragspartner; هَم پِیمان
Vertragspräambel; مُقَدَمهٔ مُعاهِده
vertragsschliessend; مُتَعاهِد ِ قَرار داد، عاقِد ِ ـ
vertragswidrig; مُغايِر ِ قَرار داد، بَر خَلاف ِ ـ
vertrauen; اِطمینان داشتَن
Vertrauen (n); اِطمینان، يَقین، اِعتِماد، اِعتِقاد
- Vertrauen fassen; دِل ِ کِسى قُرص مى شَوَد، اِطمینان حاصِل مى شَوَد
- voll Vertrauen sein; دِل ِ کِسی قُرص بودَن
- diejenigen, die Vertrauen haben; مُتَوَکِلان
- er wurde von uns ins Vertrauen gezogen; او مورِد ِ وُثوق ِ ما بوده است
vertrauensbildend;
- vertrauensbildende Massnahmen; اِقدامات ِ اِعتِماد اَنگیز
Vertrauensfrage;
- Vertrauensfrage stellen; دَرخواست ِ رأى ِ اِعتِماد کَردَن
Vertrauensmann; (pl.)  (ثِقِه (ثِقات)، نَدیم (نُدَما
vertrauensselig; سَلیم ِ دِل، مَحرَمانه، صَدیق
Vertrauensseligkeit; سَلیم دِلى
vertrauenswürdig; مؤتَمَن، موتوق، صَدیق، مُعتَمِد
- vertrauenswürdige Quellen; مَنابِع ِ مُوَثِق
vertraulich; مَحرَمانه
Vertraulichkeit; مُحرَميَت
verträumt;
- verträumt blicken; بى اِختیار نِگاه کَردَن، چِشمهايَش خُمار است
vertraut; مؤانِس، مأنوس
- ich hatte ein vertrautes Gespräch mit ...; با ... خوش و بِش میکََردَم
- s. mit etwas vertraut machen; خودرا با چیزى سَر و کَله زَدَن
- mit jem. vertraut umgehen; با کِسى هَمدَم بودَن
- mit jem. vertraut sein; با کِسی اُخت شُدَن
- das ist uns vertraut; بَراى ِ ما مأنوس است
- damit bin ich vertraut; به آن چیز مَسنون شُدَم
- um damit vertraut zu werden, ..; بَراى ِ سُهولَت ِ عَمَل
- damit habe ich mich vertraut gemacht; مَن خودَم را به آن چیز مَسنون کَردَم
- wir werden mit dem Thema vertraut gemacht; از این موضوع شِناخت ِ حاصِل کُنیم، ما را به این ... شِناسائى مى کُنَند
- er war der Vertraute von ...; او مونِس ِ .. بود
vertreiben;
- die Menge vertreiben; جَمعيَت را تاراندَن، ـ پَس راندَن
- von Haus & Hof vertreiben; از سَر ِ آب و مِلک بیرون کَردَن، از مُلک طَرد کَردَن
- jem. aus seinem Land vertreiben; کِسى را از وَطَنش آواره کَردَن
- Schnaps vertreiben; عَرَق را وِل کَردَن
- ich vertreibe mir die Zeit; مَن مى رَوَم دُنبال ِ بُزچِرانى
Vertreibung; تَبعید، طَرد، اِبعاد
vertretbar (eine Sache); قابِل ِ توجیه
vertreten;  .جانِشین بودَن، نِمايَنده ب
- Belange vertreten; عُهده دار ِ مُصالح  ِ.. بودَن
- s. die Beine vertreten; هَوا خوردَن
Vertreter;
- Vertreter (polit., jurist.); (pl.) وَکیل (وُکَلا
- Arzneimittelvertreter; نَمايَندۀ دارو
- in Vertretung; به نَمايَندِگى
Vertretung; نَمايَندِگی
- diplomatische Vertretung; نَمايَندِگى ِ دیپلُماتیک
Vertrieb (in Firma); بَخش ِ فُروش
vertrieben; مُبعِد
Vertriebener; مُبعِد، تَبعیدى
vertrödeln;
- Zeit vertrödeln; وَقت را هَدَر دادَن
vertun;
- sie vertun viel Zeit mit nutzloser Arbeit; وَقت ِ زیادى را بَر سَر ِ کارهاى ِ واهى هَدَر مى دَهَند
vertuschen; ماستمالى کَردَن
verüben;
- ein Attentat verüben; به کِسى سوء ِ قَصد کَردَن
- das Verüben eines Verbrechens; اِرتِکاب ِ جُرم
verunehren (jem. -); کِسى را بى حُرمَت کَردَن
verunglimpfen; بَدنام کَردَن
Verunglimpfung; بَدنامی
verunreinigen; کَثیف کَردَن
Verunreinigung; آلايِش، نِجاسَت، ناخالِصى
verunstalten (jem. -); اَندام ِ کِسی را از ریخت اَنداختَن
verunstaltet; از ریخت اُفتاده
Veruntreuung; اِختِلاس، خَلسه
verursachen;
- einen Auflauf verursachen; هَنگامه اى به پا کَردَن
- Schaden verursachen; خَسارَت وارِد آوَردَن
- Streit verursachen; جَنگولَک بازى دَر آوَردَن
- ein Chaos verursachen bei ...; کاسه کوزهٔ کِسی را به هَم زَدَن
- das Auto fängt an, Kosten zu verursachen; ماشین دارَد بِخَرج ميُفتَد
- sein Name verursacht Aufregung; نامَش مایهٔ تَحریک مى شَوَد
- verursacht durch ..; به موجِب ِ..، ناشى از
verurteilen; کِسى را مَحکوم کَردَن
- .. ihn zu verurteilen; اورا باد ِ تُهمَت گِرِفت
- jem. zum Tode verurteilen;  .کِسى را به مَرگ مَحکوم کَردَن، کِسى را به اِعدام مَحکوم ک
- verurteilt werden; مَحکوم شُدَن
- er verurteilt das; اینرا تَخطِئه مى کُنَد
Verurteilter; مَحکوم
Verurteilung; تَخطئِه، مَحکوميَت
vervielfachen;  .چَند بَرابَر کَردَن، تَکثیر ک
vervielfältigen; تَکثیر کَردَن
- s. vervielfältigen; اَفزايِش یافتَن، تَکثیر شُدَن
vervollständigen; تَکمیل کَردَن، به حَد ِ کَمال رِساندَن
verwachsen;
- miteinander verwachsen; دَرهَم فُرو رَفته، به هَم پِیوَسته، جوش خورده
- jem., der verwachsen ist; آدَم ِ کوژپُشت، - قوزی
verwackeln; تار کَردَن
- das Bild ist verwackelt; عَکس تار گِرِفته
verwahrlost; به حال ِ خود واگُذاشته
- dessen äusseres verwahrlost aussah; او که حِیکَلش به جاهِلان مى رَفت
Verwahrlosung; پوسیدِگی، خَرابی
- Armut und Verwahrlosung; فَقر و اِدبار
verwahren; به اَمانَت دادَن
- verwahrt werden; چیزى مُحرِز مى شَوَد، ـ نِگَهدارى ـ
Verwahrung; اَمانَت، نِگَهدارى
- etwas in Verwahrung nehmen; چیزى را اَمانَت گِرِفتَن
Verwahrzelle; بازداشتگاه
Verwalter; مُباشِر، پیشکار
- Konkursverwalter; مُتَوَلى ِ وَرشِکَستِگى
Verwaltung; ضَبط و رَبط، اِداره، مُدیريَت
Verwaltungsgericht; دادگاه ِ اِدارى
Verwaltungsweg; طَریق ِ اِدارى
verwandeln;  .تَبدیل کَردَن، مُبَدَل ک
verwandelt; مُبَدِل
Verwandlung; تَبدیل، تَغییر
verwandt; مُتَجانِس
- mit jem. verwandt sein; با کِسى مَنسوب بودَن، ـ خویشاوَند ب.، به کِسى نِسبَت داشتَن
- weil man mit dem Arzt nicht verwandt ist (i.S.: kann man nicht unverschleiert sein); به دَلايِل ِ نامَحرَم بودَن ِ  پِزِشک
Verwandter; خویشاوَند
- Verwandte & Bekannte; کِس و کار، اَقرَباء
- entfernte Verwandte; خویشاوَند ِ غِیر ِ صُلبى، ـ دور
Verwandtschaft; قَرابَت، خویشاوَندى، قوم و خویش
- Blutsverwandtschaft; قَرابَت ِ صُلبى
- enger Verwandtschaftsgrad (wo eine Frau nicht verschleiert sein muss); مَحرَميَت
- es existiert ein spezielles Verwandtschaftsverhältnis; قَرابَت ِ خاصى وُجود دارَد
verwandschaftlich; نَسَبى
verwarnen; اِخطار کَردَن به
Verwarnung; اِخطار، تَحذیر
verwässert; رَقیق
- verwässerter Tee; چای ِ آب ِ زِیپو
verweben;
- miteinander verweben; بِهَم بافتن
verwechseln; کِسى را عَوَضى گِرِفتَن
- mit jem. verwechseln; با کِسى اِشتِباه گِرِفتَن
- etwas verwechseln mit ...; چیزی را به چیز ِ دیگَر اِشتِباه کَردَن
- ich habe sie mit .. verwechselt; آنهارا با شِکل و شَمايِل ِ فِلان تَشخیص نَدادَم، آنها با ... اِشتِباه کَردَم
- ständig werden sie verwechselt; هِی با هَم اِشتِباه می شَوَند
Verwechslung; عَوَضى
- vielleicht liegt eine Verwechslung vor; شايَد عَوَضى دیده باشید
verwegen; مُتَهَرِر، سَر دَر کَف، بى باک، جَسور، بى پَروا
Verwegenheit; تَهَوُر
verwehren; بازداشتَن از
- jem. seine Hilfe verwehren; کُمَک ِ خودرا از کِسى دَریغ داشتَن، ـ اِمتِناع کَردَن، - بازداشتَن
- der Zugang zum Spezialisten war mir verwehrt; دَسترِسى به مُتَخَصِصان نَداشتَم
verweichlicht; نَرم و لول
verweigern; اِمتِناع کَردَن، سَرباز زَدَن
- s. verweigern zu ..; چیزى را سَر باز کَردَن، از .. اِمتِناع ک.، از چیزى سَر باز زَدَن
- er verweigert den Befehl; سَر از فَرمان مى پیچَد
- die Hälfte hast du verweigert; نِصفِش را دَریغ داشتى
Verweigerung; رَد، اِمتِناع، خوددارى
- Verweigerung von Rechtshilfe; اِمتِناع از مُعاضِدَت ِ قَضائى
- Befehlsverweigerung; سَرباز زَدَن از فَرمان
Verweis;
- Verweis, Hinweis; اِشاره، اِرجاع
- Verweis, Tadel; مَلامَت
- Verweise auf andere Verse; اِرجاعاتى به آیات ِ دیگَر
verweisen;
- verweisen an ..;  .به .. اِرجاع کَردَن، ـ اِشاره ک
- verweisen aus ..; اِخراج از
verwelken; پَژمُردَن، پَلاسیدَن
- verwelkt; پَژمُرده، پَلاسیده
verwenden; بِکار بُردَن، اِستِفاده کَردَن
- verwendet werden; بِکار رَفتَن
verwerfen; چیزى را باطِل ساختن، رَد کَردَن
Verwerfung; طُرد
- Verwerfung, Verkrümmung (geolog.); اِعوِجاج، شِکَستِگى، پیچِش، تابیدِگى
verwerten; اِستِفاده کَردَن، به مَعَرَض رِساندَن
verwesen; مُتَعفِن شُدَن
Verwesung; تَعفُن
verwickeln;
- jem. in Widersprüche verwickeln; کِسى را به تَناقُض گوئى واداشتَن
- sie verwickeln ihn in eine Diskussion; آنها اورا دَر بَحث گِرِفتار مى کُنَند
- verwickelt in ...; پا دَر گِل، دامَن گیر ِ کِسى شُدَن
- ich war so in die Dinge verwickelt, dass ..; آنقَدر گِرِفتار بودَم که
- man wird in die Sache mit verwickelt; پا دَر این پَروَنده بِمیان کِشیده شَوَد
- die Sache ist sehr verwickelt; موضوع بِسیار پیچیده است
- in Krieg verwickelt sein; دَر گیر ِ جَنگ بودَن
Verwindung; اِعوِجاج، شِکَستِگى، پیچِش، تابیدِگى
verwinkelt;
- verwinkelte Flure; دالانهاى ِ مارپیچى، ـ گُم دَشت
verwirken; از دَست دادَن
verwirklichen; تَحَقُق دادَن، به عَمَل رِساندَن، اِجرا کَردَن
- s. verwirklichen; تَحَقُق یافتن، مُجرا و مَعمول داشتَن
Verwirklichung; تَعمیل، تَحَقُق
- Verwirklichung des ..; تَحَقَق بَخشیدَن ِ
verwirren;  .سَردَر گُم شُدَن، دَستپاچه ش، گیچ ش
- im verwirrenden Knäuel s. verfangen; دَر کَلاف ِ سَر دَر گُم گِرِفتار آمَدَن
verwirrt; سَر گَشته، سَراسیمه
- geistig verwirrt; مُختَل اُلشُعور
- verwirrt werden, den Kopf verlieren; دَستپاچه شُدَن
- verwirrt sein; گیج شُدَن
- sei nicht verwirrt wegen ..; از این کار مُشَوَش نَباش
- wir sind völlig verwirrt; ما کامِلاً مَغشوش هَستیم، ـ گیچ شُدیم
- das hat mich sehr verwirrt; این موضوع خِیلی قُلقُلَم میداد
- verwirrter Mensch; آدَم ِ سَر دَر گُم، آدَم ِ مُخَبَط
Verwirrung; ضَلالَت، تَشَوُش، دَست پاچِگى، اِغتِشاش
- Verwirrung stiften; موش دَوانى کَردَن
- jem. in Verwirrung bringen; کِسى را به حِیرَت فُرو بُردَن، ـ بَر اَنداختَن
- Verwirrung stiften und ausnutzen; آب را گِِل آلود کَردَن، آشُفتَن ِ کاری ِ سود خویش را : آب را گِل آلود می کُنَد ماهی  بِگیرَد
verwittert; هَوازَده
Verwitterung; هَوازَدِگى
verwitwet; بیوه شُده
- sie ist verwitwet; او پاى ِ تو بیوه نِشَسته
verwöhnen; نُنُر کَردَن
verwöhnt; ناز پَروَرده، نُنُر
Verwöhnung; نُنُرى
verwunden;  .زَخمی کَردَن، مَجروح ک
- verwundet; جَراحى، مَجروح، ریش، زَخمی
verwundern (s. -); تَعجُب کَردَن
- es verwundert mich; تَعجُب مى کُنَم، شاخَم دَر مى آيَد
verwurzeln; ریشه دُواندَن، ـ گِرِفتَن، ـ زَدَن
- das ist tief in ihm verwurzelt; این دَر او عَریق است، ـ ریشه دَوانیده است
- er ist verwurzelt in seiner Kultur; او پایبَند ِ فَرهَنگَش است
Verwüstung; تَخریب، ویرانى
verzagen; مأیوس شُدَن
- ihre Herzen verzagen; دِلهايِشان فُرو مى ریزَند
- verzagt; دِل اُفتاده، دِل گِرِفته، دِلسَرد شُده
- verzagte Gedanken; اَفکار ِ بی دَر و بَند
