Waage; تَرازو
- er würdigte ihn keines Blickes; زير ِ نَظَرِش نِمي آمَد
Wurf; پَرتاب
- Wurf (Geburt bei Tieren); زايِمان ِ حِيوانات
Würfel; طاس
würfeln; طاس اَنداختَن
- um eine Sache würfeln; بَر سَر ِ چيزى دَست به قُمار زَدَن، ـ قُرِعه اَنداختَن، چيزى را به قِيمَت قُرعِه ِ تَقسيم کَردَن، بَراى ِ چيزى طاس ريختن، ـ اَنداختَن
Würfelspiel; طاس بازى
Wurfspiess; حَربه، زوبين
würgen;
- würgen, erbrechen;  .به سَختى قورت دادَن، به شِدَت ِ عَصَبانى قورت د
- jem. würgen; خَفه کَردَن
Wurm; کِرم
- der Wurm muss dem Fisch schmecken, nicht dem Angler; عَلَف بايَد به دَهَن ِ بُزي سيري بيايَد
wurmstichig; کِرم خورده
Wurst; کالباس
- Wurst (in Pelle); جَرغَند
- Würstchen (Wiener-, u.ä.); سوسيس
Würze; اَدويه
- Würze zum Essen; چاشنى
Wurzel;
- Wurzel, Ursprung; جَرثومه
- Wurzel, Baum; ريشه
- Wurzel (mathemat.); جَذر
- die Wurzel von 4 ziehen; جَذر ِ ۴ را گِرِفتَن
- Menschen ohne Wurzel; اَشخاصى ِ بى ريشه
- die Wurzel ist faul; آب از سَرچِشمه گِل است،  آب از بُنه تيره است، عِيب و خَلَل دَر اَصل و بُنيان ِ اَمر است
- Das Übel an der Wurzel packen;آب را از سَرچِشمه بايَد بَست، دَر دَفع ِ فِتنه و شَر بايَد مَنشاء و مَنبَع ِ اَصلي ِ آن را مَعلوم و مَسدود ساخت
Wurzelzeichen; عَلامَت ِ راديکال
würzen;  .چاشنى زَدَن، اَدويه ز
- gewürzte Rede; حَرفَش مَليح است
würzig; خوش طَعَم
wuschelig (Haar); وِزوِزى
wuseln; (wul) وول زَدَن
wüst;
- ein wüstes Durcheinander; چِرت و پِرت، دَرهَم بَرهَم
- wüster Mensch; آدَم ِ هَرزه، ـ زِشت
Wüste; باديه، کَوير، بيابان، هامون
Wüstenbewohner; بادى، صَحرا نِشين
Wüstenblume; خارخَسَک
Wüstensand; ماسة کَوير
Wut; خَشم، غِيظ
- voller Wut; لَجَش گِرِفت ...، با غِيظ
- Wut haben auf jem.; دِل پُرى از کِسى داشتَن
- jem. in Wut bringen; کِسى را به غِيط آوَردَن
Wutausbruch; اوقات ِ تَلخى، خَشم
- er unterdrückt seinen Wutausbruch; او خون ِ خودَش را مى خورَد
wüten;
- wüten in ..; دَر بَعضى چيزها سَر ريز کَردَن
wütend; خَشمگين
- wütend werden; از جا دَر رَفتَن، دَمَق شُدَن، به خَشم آمدن، اوقات ِ کِسى تَلخ مى شَوَد
- wütendes Tier; حِيوان ِ ژيان
wutentbrannt;
- wutentbrannt sagte er ..; لَج دَرآمَده گُفت، لَجِشِش گِرِفت
