Saal (m); سالُن
Staatsgeschäfte;
- Führung der Staatsgeschäfte; مَملَکَت دارى
Staatsmänner; اولیاء ِ دولَت
Staatspräsident; رَئیس ِ جُمهور
Staatsschulden; دَیون ِ دولَتى
Staatssicherheitsdienst; سازِمان ِ اَمنيَت ِ کِشوَر
Stab; عَصا، چوبدَستى
- militärischer Stab; سِتاد ِ نِظامى
Stabhochsprung; پَرِش با نیزه
stabil; پایدار، ثابِت، اُستُوار
stabilisieren;  .تَعدیل کَردَن، ثابِت ک
- stabilisierender Faktor; عُنصُر ِ تَعدیل
Stabilisierung; تَثبيَت، تَعدیل
- Stabilisierung der Preise; تَثبيَت ِ قِیمَتها
Stabilisierungsflosse; بال ِ اِستِحکام
Stabilität; اِستِحکام
- Stabilität des Gebäudes; اِستِحکام ِ ساختِمان
- der Schuh gibt dem Fuss Stabilität; کَفش به پا اِستِحکام مى دَهَد
Stabilitätsfaktor; عامِل ِ ثَبات
Stachel; خار، تیغ
Stacheldraht; سیم ِ خاردار
Stachelschwein; جوجه تیغى
Stachelstock (für Tiere); غِباره
Stadel; اَنبار ِ عَلیق
Stadion; اِستادیوم
Stadium; مَرحَله، دوره
Stadt; شَهر
- Kleinstadt; شَهرَک
Stadtbevölkerung; جَمعيَت ِ شَهر
Städtebau; شَهر سازى، شَهرَک سازى
Städter; شَهرى، شَهر نِشین، اَهل ِ شَهر
Stadtgespräch; اَسباب ِ حَرف
- damit er nicht zum Stadtgespräch wird; که اَسباب ِ حَرفی واسه اَم توی ِ مَحَل نَباشَم
städtisch; شَهرى
Stadtmauer; شَهر بَند
Stadtratsmitglied; عُضو ِ اَنجُمَن شَهر
Stadtregion; شَهرِستان
Stadtreinigung; رُفت و روب ِ و پاکسازى ِ شَهر
Stadtsanierung; نوسازى ِ شَهرى
Stadtstaat (z.B. Bremen); ایالَت ِ شَهرى (بِطور ِ مِثال برِمِن
Stadtstreicher; آدَم ِ آش و لاش، گِداگُشنه
Stadtverwaltung; اِدارۀ اُمور ِ شَهر، مَأمورین ِ بَلَدیه
Stadtviertel (kuj); بَخش، ناحیه، کوى
Staffelei; سه پایهٔ نَقاشى
Staffellauf; دُو ِ اِمدادى
Stagnation; کَس رُکود
- Stagnation des Marktes; کَساد ِ اِقتِصادى، رُکود ِ ـ
stagnieren; به وُقوف رِسیدَن، به کَسادى اُفتادَن
stagnierend; کاسد، راکِد
Stahl; فولاد
- gehärteter (ungehärteter) Stahl;  (فولاد ِ آبدیده (نَدیده
Stahlbeton; بِتُن ِ مُسَلَح، ـ فولادى
Stahlwolle; پَشم ِ فولادى
staksen; تاتی تاتی کَردَن
Stalagnit; اِستالاگمیت، گُلفَهشَنگ ِ مَعکوس
Stalaktit; اِستالاکتیت، گُلفَهشَنگ
Stall; اِسطَبل، طَویله
Stamm;
- Stamm (des Volkes Israels); سِبط
- Baumstamm; تَنهٔ دِرَخت
- Holzstamm; کُندهٔ دِرَخت
- Nomadenstamm; (pl.) تیره، ایل (ایلات)، عَشیره
- Volksstamm; (pl.)  (قَبیله (قَبائِل)، طايِفه (طَوائِف
Stammbaum; شَجَره نامه، نَسَب ـ
Stammbuch; نَسَب نامه، تَبارنامه، شَجَره نامه
stammeln;
- anfangen zu stammeln; به لُکنَت اُفتادَن
stammen;
- aus Berlin stammen; مال ِ بِرلین بودَن، اَهل ِ
- die Geschichte stammt von ..; حِکايَت ناشى از
- das älteste ... stammt aus der Zeit um ..; قَدیم تَرین .. از حَوالى ِ سَنهٔ .. مى باشَد
- das stammt alles von mir; هَمه را از خودَم جور کَرده بودَم
Stammesgeschichte; تاریخ ِ ایلاتى
stämmig; تَنومَند، قَوى
Stammkunde; مُشتَرى ِ دائِمى
Stammplatz; جای ِ هَمیشِگی، - ثابِت
Stammtischpolitiker; سیاسَت ِ مُدار ِ قَهوه خانه
Stammvater; اَبوالقوم، بُنیان گُذار ِ مِلَت، پَتریارخ
- Adam, Stammvater der Menschheit; اَبوالبَشَر، آدَم
Stammwähler; اِنتِخاب کُنَندِگان ِ سُنَتى
Stand;
- Stand, bestimmte Anzahl; نِصاب
- der neue Stand (z.B. bei einer Aktion); حَد ِ نِصاب ِ جَدید
- Kenntnis des neuesten technischen Standes von ...; شِناخت ِ آخَرین فَراوَرى ها دَر اَمر ِ ...
- einen Stand aufmachen;  .دَکه بَر پا کَردَن، ـ دايِر ک
- im Stand marschieren; رِژه بَر جا
- Berufsstand; (pl.) صِنف (اَصناف
- zum Berufsstand gehörend; صِنفى
- Fischstand; بَساط ِ ماهى فُروشى
- Standverkäufer; بَساطی
Standard; مِعیار، اِستاندارد
Standardklausel; مادهٔ مُتَحِد اُلشِکل، قید ـ
Ständer; پایه
- Eisenständer; آهَن پایه
- Fahrradständer; جَک
- Notenständer; سه پایهٔ نُتها
Standesamt; اِدارهٔ ثَبت ِ اَحوال
Ständevertretung; نَمايَندِگى ِ صِنفى
standfest; پابَرجا، اُستُوار
Standgericht; دادگاه ِ نِظامى
standhaft; ثابِت قَدَم، پایدار، پاقُرص
Standhaftigkeit; پافِشارى، ایستادِگى، اُستُوارى
ständig; هَمواره
- er entfernt s. ständig von der Arbeit; وَقت و بى وَقت کار و کاسِیيَش را رَها مى کُنَد
- er ist ständig am Zunehmen; او مُدام دَر اَفزايِش است
- diese ständigen schönfärberische Worte; این حَرفهای ِ خَر رَنگ کُن ِ هَمیشِگی
- ständiger Ausschuss; کُمیسیون ِ دائِمى
- sie kommen ständig; هِى مى آيَند
- ständiger Bewacher; نِگَهبان ِ هَمیشِگى
- ständiger Kontakt; تَماس ِ مُستَمِر
- ständige Anwesenheit; حُضور ِ مُستَمِر
- ständiger Krieg; جَنگ ِ دائِم اُلتَزايُد
Standlicht; لامپ ِ پارکینگ
Standort; جاى گاه، مَحَل ِ سُکونَت
Standortsfaktoren; عَوامِل ِ مُحیط ِ زِندِگى
Standpauke; نُطق ِ غَرا
Standpunkt; نَظَر
- Standpunkt der Regierung; موضِع ِ دولَت
- den gleichen Standpunkt vertreten; هَمرأى داشتَن
- jetzt, wo sie ihren Standpunkt gebildet hatte; وَلی او که دو پای اَش را دَر يِک کَفش کَرده بود
standrechtlich;
- standrechtlich erschiessen; تیرباران کَردَن پَس از دادگاه ِ صَحرائى
Standspiegel; آیینهٔ قَدى
Stange; میله
- wie lange bleibst du bei der Stange?; تا کِی طاقَت می آوَری بِمانی؟
- Pleuelstange; میله لَنگ
Stanniol; وَرَقهٔ نازُک ِ قَلعى
Stanze; پانچ
stanzen;  .مَنگَنه کَردَن، سوراخ ک
Stapel; توده، کَپه
- er hatte einen Stapel Geld; او کوهه پول داشت
stapeln; روى ِ هَم اَنباشتَن، توده کَردَن
- achtlos stapeln; تَپه تَپه گذاشتَن
stapfen; به زَحمَت راه رَفتَن
Star;
- Star (Vogel); سار
- grauer Star (med.); آب ِ مَروارید
- grüner Star (med.); آب ِ سَبز
- schwarzer Star; آب ِ سیاه
stark; قَوى، نیرومَند
- starke Arme; بازوى ِ سُتُرگ
- starke äste; شاخه هاى ِ قُطور ِ دِرَخت
- starke Persönlichkeit; مَتین
- starker Kaffee; قَهوهٔ غَلیظ، ـ پُر رَنگ
- starkes Verb; فِعل ِ بى قاِعده
- das ist ein starkes Stück; هَضمَش نِمى شَوَد کَرد
- wer ist stärker als Gott?; چه کِسى قُدرَت ِ بَرتَر از خُدا است؟
Stärke;
- Stärke, Macht; قُدرَت، تَنومَندى، نیرو
- Wäschestärke; نِشاسته، آهار
- Reservestärke; نِشاستهٔ ذَخیره اى
stärken;
- stärken (Wäsche); نِشاسته زَدَن، آهار ز
- stärken, kräftigen;  .قُرص کَردَن، مُقَوى ک
- s. stärken durch Nahrung;  .خودرا تَهبَندى کَردَن، ـ مُقَوى ک
stark machen;
- s. für jem. stark machen; سَنگ ِ چیزی (کِسی) را به سینه زَدَن
Starkstromleitung; هَدى ِ جَریان ِ قَوى
Stärkung; تَحکیم، تَقويَت
- Stärkung (zur übernahme von Aufgaben); تَمکین
starkwandig; دیوارهٔ ضَخیم
starr;
- starr vor Kälte; از سَرما خُشک شُده، ـ ماسیده، از جان رَفته
Starre; اِنجِماد، جُمود
starren;
- vor Dreck starren;  .دَر کِثافت غوطه وَر شُدَن، از کِثافَت پوشیده ش
- die Bettwäsche starrte vor Schmutz; مَلافه از کِثافَت به سیاهى مى زَد
- in die Ferne starren; چِشم به دورترها دوختَن
- geistesabwesend zu .. starren; با بَلاهَت به .. خِیره شُدَن، ـ خِیره خِیره نِگاه کَردَن، بِر و بِر نگاه کَردَن
starrköpfig; سَرسَخت
Starrkrampf; کُزاز
Start; آغاز، شُروع
starten;  .شُروع کَردَن، آغاز ک
- das Auto starten; ماشین را اِستارت زَدَن
- das Flugzeug startet; هُواپِیما به پَرواز دَر مى آيَد
Starter (Auto); راه اَنداز، اِستارتِر
Starterklappe; ساسات
startklar;
- startklar sein; هَمه چیز رو به راه است
- s. startklar machen (für die Reise); کَفش و کُلاه کَردَن
Statik; مُحاسِبه و تَعیین ِ نیروها و مُقاوَمَتها دَر پُلسازى و غِیره، اِستاتیک
- Statik, Ruhe; سُکون، سُکوت
Station;
- Krankenstation; بَخش ِ بیمارِستان
stationär; بَستَری
- stationäre Behandlung; دَرمان توأم با بَستَرى
stationieren;  .مُستَقِر کَردَن، نَصب ک
- die Soldaten sind in ... stationiert; سَربازان دَر ... مُستَقِرَند
- Stationierung von UN-Truppen; اِستِقرار ِ نیروهاى ِ سَازِمان ِ مِلَل ِ مُتَحِد
statisch; ایستا، ساکِن
- statisches Moment; گُشتاوَر
Statist; سیاهى لَشکَر
Statistik; آمار، آمار گیرى
- Statistik erheben; آمار گِرِفتَن
statistisch; آمارى
Stativ; سه پایه
statt; به جای ِ
stattfinden; صورَت گِرِفتَن، ـ پَذیرُفتَن، بَر گُذار شُدَن
- es findet keine Prüfung statt; اِمتِحانات اَنجام نِمى گیرَند
- Versuch hat stattgefunden; آزمايِش صورَت گِرِفته
stattgeben;
- seiner .. stattgeben; با .. مُوافِقَت کَردَن
Statthalter; نايِب ِ مَناب
stattlich;
- eine stattliche Zeitschrift; مَجَلهٔ پَر و پا قُرص
Statue; تِمثال، مُجَسَمه
- kleine Statue; آدَمَک
Statur; قامَت
Status;
- diplomatischer Status; مَقام ِ دیپلُماتیک، مَنزِلَت ِ دیپلَماتیک
- Sonderstatus; وَضع ِ خاص
- Status quo; وَضع ِ موجود
Statuten; مَرام نامه، آئین ـ
Stau; گِره هاى ِ ترافیکى، راه بَندان
- Stau verursachen; وَقفه ایجاد کَردَن
Staub; غَبار، گَرد
- Staub aufwirbeln; خودرا به خَرج دادَن، ـ گَرد و خاک کَردَن، ـ پیش اَنداختَن
- Staub wischen; گَردگیرى کَردَن
- s. aus dem Staub machen (*: verduften); بَساط را جَمع کَردَن، فِلِنگ را بَستَن، يَواشَکى رَفتَن، از زیرِش دَر رَفتَن، شَلواررا وَر مالیدَن، پاشنه بالا کِشیدَن، جا خالی دادَن، دَک شُدَن، دو دَره کَردَن
- dann macht er sich aus dem Staub; بَعد هَم حاجی حاجی مَکه
- s. vor jem. in den Staub werfen; خودرا خاک ِ پای ِ کِسی کَردَن
- jem. zu Staub machen; کِسى را به دود و خاکِستَر تَبدیل کَردَن
- der Wind wirbelt Staub auf; باد روى ِ جاده گَرد و خاک مى کُنَد، باد گَرد و خاک به پا می کُنَد
staubaufwirbelnd; گَرد و خاک کَنان
Stäubchen; (pl.)  (ذَره (ذُرات
stauben; گَرد و خاک کَردَن
- angestaubter Riemen; تِسمهٔ خاک گِرِفته
Staubgefäss; پَرچَم ِ گُل
staubig; گَرد آلود
Staubkohle; پودر ِ زُغال
Staublappen; گَردگیر، پارچهٔ گَردگیرى
staubsaugen; جارو کِشیدَن
Staubsauger; جاروى ِ بَرقى، مَکَندهٔ گَرد و خاک
Staudamm; سَد ِ آب
- Wasser stauen; آب سَد بَندى کَردَن
staunen; تَعجُب کَردَن، عِجاب کَردَن
Staunen (n); تَعَجُب، اِستِعجاب، عِجاب
- sie waren sprachlos vor Staunen; آنها اَنگُشت به دَهان مانده بودَند
- das bringt mich zum Staunen; این جیز مرَرا به عِجاب وا می دارَد
Stausee; آبگیر
Stechbeitel; مَقار ِ نَجارى، قَلَم ِ تَراش
stechen; نیش زَدَن
- stechen (vor Schmerzen); زُق زَدَن، تیر کِشیدَن
- stechende Sonne; آفتاب ِ سوزان
- stechender Geruch; بوى ِ تُند
Stechfliege; مَگَس ِ گَزَنده
Steckbrief; حُکم ِ کَتبى ِ توقیف
Steckdose; پِریز ِ بَرق
stecken; گُذاشتَن
- jem. in die Tasche stecken; حَریف ِ کِسى شُدَن
- es steckt etwas dahinter; کاسه اى زیر ِ نیم کاسه است
- ich stecke mitten drin; تو نَخ ِ این کار هَستَم
- steck dein Schwert weg; شَمشیررا غَلاف کُن
- er steckte s. die Pfeife zwischen die Zähne; پیپِش را زیر ِ لَب گُذاشت
- ineinander gesteckt; توى ِ هَم رَفته
stecken bleiben;
- im Verkehr stecken bleiben; توى ِ ترافیک گیر اُفتادَن
- stecken bleiben (in einer schwierigen Situation); مِثل ِ خَر دَر گِل ماندَن
- Bekenntnisse, im Hals stecken geblieben; اِعتِرافهاى ِ دَر گَلو خَفه شُده
stecken lassen;
- den Schlüssel stecken lassen; کِلید را جا گُذاشتَن
Stecker; سر سیم ِ دو شاخه
Steckkontakt; اِتِصال ِ دوشاخهٔ بَرق
Stecknadel; سَنجاق ِ تَه ِ گِرد
Steckschlüssel; آچار ِ بوکس
Steg; راه رو
- Steg (bei Gitarre, Geige, u.ä.); زِه گیر، خَرَک
Stegreif; اِرتِجال، بَداهَت، بَداهه نَوازى
- aus dem Stegreif; اِرتِجالى، با لبَداهه
stehen; ایستادَن
- bleib stehen; (woissā) وایستا
- Steh auf!; پا شو
- stehen lassen; سَر ِ پا نِگَه داشتَن
- hinter jem. stehen, helfen; پُشت ِ کِسى را گِرِفتَن
- in Verdacht stehen; مورِد ِ سوء ِ ظَن واقِع بودَن
- mir steht das Wasser bis zum Hals; جانَم به لَب آمَد
- die Gruppe steht unter meinem Befehl; دَست بَر قَضا رَهبَر ِ گُروه مَن هَستَم
- seine Sache steht gut; کَبکَش خوب مى دانَد
- wie stehts? (z.B. beim Fussball); چَند چَند هستید؟
- er kann vor Freude nicht stillstehen; او از خوشحالی روی ِ پا بَند نیست
stehen bleiben;
- wie vom Blitz getroffen blieb er stehen; مانَند ِ بَرق گِرِفته دَر جايَش مى خُشکَد
- meine Uhr ist stehengeblieben; ساعَتَم مى خوابَد
stehend; سَر ِ پا
- stehendes Gewässer; آب ِ راکِد
stehlen; به سِرقَت بُردَن، دُزدیدَن، دُزدى کَردَن
- gestohlen; مَسروق؛ دُزد شُده
- gestohlen werden; به سِرقَت رَفتَن
- gestohlenes Geld; پولهاى ِ مَسروقه
steif; سیخ سیخ
Steifheit; شَقى و رَقى
Steigbügel; رِکاب
- Steigbügelhalter (auch im übertragenen Sinn); رِکاب دار
steigen;
- auf den Berg steigen; بالاى ِ کوه رَفتَن
- der Geruch von .. steigt ihm in die Nase; بوى ِ .. به مَشامَش مى خورَد
- steigender Druck; فِشار ِ مُتَزاید
steigern;
- die Produktion steigern; تولیدرا اَفزايِش دادَن
- manchmal steigerte s. das Herzklopfen; تَپِش ِ قَلب گاهى شِدَت مى گِرِفت
Steigerung (Grammatik); تَفضیل
- Steigerung des realen Pro-Kopf-Einkommens; اَفزايِش ِ دَرآمَد ِ واقِعى ِ سَرانه
Steigfähigkeit (z.B. des Flugzeuges); تَوانائى ِ صُعود
Steigungswinkel; زاویهٔ شیب
steil; سَرازیر، سَراشیب
Stein; سَنگ
- in Stein gehauen; از سَنگ تَراشیده
- er war ja schliesslich nicht aus Stein; آخَر او از سَنگ که ساخته نَشُده بود
- bei jem. einen Stein im Brett haben; دَر نَظَر ِ کِسى اِلتِفات یافتَن
- wer einen Stein ins Rollen bringt, auf den fällt er zurück; هَر که سَنگى بِغِلطانَد بَر او خواهَد بَرگَشت
- Feldstein; قُلبه سَنگ
Steinbock; بُز ِ کوهى
- grosser Steinbrocken; پاره سَنگ، سَنگ ِ پارهٔ بُزُرگ
Steinbruch; مَعدَن ِ سَنگ
Steingut; ظُروف ِ سُفالى
steinig; سَنگدار، سَنگى
- steiniges Gelände; سَنگلاخ
steinigen; سَنگسار کَردَن، سَنگ باران کَردَن
Steinigung; رَجم، سَنگسار
Steinmetz; حَجار
steinreich; خَرپول
Steinschlag; رُمبِش، سَنگریزه
Steinschleuder; سَنگ ِ فَلاخَن، دَست سَنگ، قُلاب ِ سَنگ
Steinwolle; پَشم ِ مَعدَنى، ـ سَنگ
Steinzeit; عَصر ِ حَجَر
Steissbein; دُم ِ غازه، خار ِ عانه، اُستُحوان ِ دُنبالیچه، عُصعُص
Stelle; جا، گاه، مَکان
- auf der Stelle, sofort; فى الفور، هَمین دَم، دَر جا
- er starb auf der Stelle; او جابِجا مُرد
- s. an die Stelle von .. versetzen; با قَرار گِرِفتَن دَر جاى ِ فِلان، جاى ِ فِلان را گِرِفتَن
- eine Zahl mit drei Stellen; يِک عَدَد ِ سه رَقمى
stellen;
- die Uhr stellen; ساعَت را میزان کَردَن
- Wecker stellen; ساعَت ِ شُماطه را تَنظیم کَردَن
- zur Diskussion stellen; به بَحث گُذاشتَن
- jem. auf die Beine stellen; کِسى را روى ِ پا ایستاندَن، ـ ایستانیدَن
- jem. ein Bein stellen; کَله پائىن مى کُنَد
- jem. vor vollendete Tatsachen stellen; دَر بَرابَر ِ اَمر ِ واقِع قَرار دادَن
- ihr wurdet an ihren Platz gestellt; شُما سَر ِ جاى ِ آنها قَرار گِرِفتید
- etwas an seinen Platz stellen; چیزى را سَر ِ جايَش گُذاشتَن
- etwas über eine andere Sache stellen; چیزى را از چیزى ِ دیگَر مُهِمتَر تَلَقى کَردَن
- s. der Verantwortung stellen; وَظیفه را به خود اِختِصاص دادَن
- s. schlafend stellen; خودرا به خواب زَدَن
- s. unglücklich stellen; خودرا موش مَرگى زَدَن
- s. unwissend stellen; خودرا به نَدانِستَن زَدَن
- s. der Polizei stellen; خودرا به پُلیس مُعَرِفى کَردَن
Stellenausschreibung; آگَهى ِ اِستِخدام
stellig;
- eine dreistellige Zahl; يِک عَدَد ِ سه رَقمى
Stellmacher; چَرخه ساز
Stellung; موضِع
- Stellung, Ansehen; مَنزَلَت
- (klare) Stellung beziehen; موضِع  اِتِخاذ کَردَن ،  مُحکَمى ـ ، موضِع را گِرِفتَن
- Stellung des Feindes (*: Lager); موضِع ِ اُردوى ِ دُشمَن
- die Armee begibt s. in Stellung; لَشکَر صَف ِ آرائى مى کُنَد
- für jem. Stellung beziehen; جانِب ِ کِسى را گِرِفتَن
- in meiner Stellung; به مَثابهٔ مَن
- unter ihnen hat er eine besondere Stellung; دَر میان ِ آنها جایگاه ِ خاصى دارَد
Stellungnahme; اظِهار ِ نَظَر، موضِعگیرى
Stellungskrieg; جَنگ ِ موضِعى، جَنگ ِ بى تَحَرُک
stellvertreten; جاى ِ کِسى را گِرِفتَن
- stellvertretender Parteivorsitzender; مُعاوِن ِ حِزب، نايِب ِ رَئیس ِ حِزب
- stellvertretender Direktor; مُعاوِن ِ مُدیر
- stellvertretendes Mitglied; عُضو ِ جانِشین
Stellvertreter; (pl.) جانِشین، مُعاوِن، جاى گُزین، خَلیفه (خَلَفاء)، نايِب، نَمايَندهٔ صاحِب
- und mit 2 Stellvertretern; و دو نَفَر ِ عُضو ِ عَلى اَلبَدَل
Stellvertretung; نیابَت، وِکالَت، خَلیفه گَرى و قائِم ِ مَقام
Stelzen; چوب پا
Stemmeisen; مَغار، قَلَم ِ شیار کَنى
Stempel; مُهر
- Stempel (biolog.); خامه، گَردَن ِ تُخمدان ِ گُل، مادِگى ِ گُل
- jem. den Stempel aufdrücken als Dieb; اَنگ ِ دُزد بودَن به کِسى زَدَن
stempeln; مُهر زَدَن
Stengel; ساقه
Stenograph; تُندنِویس
Stenographie; تُندنِویسی
Steppe; اِستِپ
steppen; بَخیه زَدَن، دوختَن
Sterbebett;
- auf dem Sterbebett liegen; دَر بَستَر ِ مَرگ خوابیدَن
Sterbehilfe; مَرگ بَراى ِ رَفع ِ رَنج، کُشتَن ـ
sterben; فوت کَردَن، رِحلَت ک.، مُردن، جان سِپُردن
- vor Hunger sterben (nicht ernst gemeint); دِلَم به ضَعف رَفت
- vor Kummer sterben; از غُصه دِق کَردَن
- er stirbt vor Angst; زَهرهٔ او آب می شَوَد
- er stirbt langsam; او کَم کَم جان به سَر شُده
- irgendwann stirbt jeder; اَلان این دَم آن دَم است که تَمام کُنَد
- er wäre beinahe gestorben; چیزى نَمانده بود که از پاى دَر آيَد
- und wenn sie nicht gestorben sind, dann leben sie noch heute; قِصهٔ ما بِسَر رِسید کَلاغه به خانه اش نَرِسید
- im Sterben liegen; دَر حال ِ جان کَندَن بودَن
- jem., der im Sterben liegt; (pl.)  (مُحتَضِر (مُحتَصِرین
- das Sterben erleben; جان دادَن ِ مُحتَضِررا دیدَن
sterblich; مُردَنى، فانى
Sterbliche; زَمانیان
Sterblichkeit; مَرگ و میر، مُتَوَفیات^
stereotyp; يِکنَواخت
- Berufsstereotyp; رَفتار ِ قالِبى ِ شُغلى
steril; عَقیم، سَتَروَن
- steril, unpersönlich; خُشک
Sterilisation; سَتَروَنى، تَعقیم
Stern; (pl.)  (کوکَب (کَواکِب)، سِتاره (سِتارِگان
- Abendstern; سِتارهٔ مَغرِب، ـ شَبکِش
- Sternbild des Südens; بُروج ِ جِنوب
Sternwarte; رَصَد خانه
Stethoskop; گوشى ِ طَبى
stetig; داِئم، مُدام، پِى در پِى
stets; هَمیشه، هَمواره
Steuer; رُل، فَرمان، غَربیل ِ فَرمان، سُکان
- Steuer (finanz.); مالیات
- Steuern einziehen; تَحصیل ِ مالیات
- Erbschaftssteuer; مالیات بَر اِرث
- Kopfsteuer; جِزیه
- Vermögenssteuer; مالیات بَر دارائى
Steueraufkommen; دَر آمَدهاى ِ مالیاتى، عايِدات ِ ـ
Steuerbegünstigung; اِمتیاز ِ مالیاتى
Steuerberater; مُشاوِر ِ مالیاتى
Steuererhebung; اَخذ ِ مالیات
steuerfrei; مُعاف از مالیات
Steuerhinterziehung; طَفره از پَرداخت ِ مالیات
steuerpflichtig; مالیات پَذیر، مَشمول ِ مالیات
Steuerrad; رُل، فَرمان، غَربیل ِ فَرمان، سُکان
Steuersystem; نِظام ِ مالیاتى
Steuerung; کُنترُل، تَنظیم
Steuerzahler; مالیات بِده
Stich;
- jem. im Stich lassen; کِسى را قال گُذاشتَن، ـ خِذلان کَردَن
- mit einem Stich von Demokratie; با ضَبَغهٔ دِموکراسى
- er kann bei ihr keinen Stich machen; زیاد هَم چَنگى به دِلِش نِمى زَنَد
- Wespenstich; نیش ِ زَنبور
Stichel; قَلَم تَراش
sticheln; زَخم ِ زَبان زَدَن، توى ِ کوک ِ کِسى رَفتَن
stichhaltig;
- stichhaltiges Argument; دَلیل ِ مُحکَمى
- seine Entschuldigung war nicht stichhaltig; عُزر او مَسموع نَبود، ـ وارِد نَبود
Stichprobe; آزمايِش ِ بیقاعِده
Stichsäge; اَرهٔ نوکى
Stichtag; روز ِ مُقَرَر
Stichwahl; اِنتِخاب ِ نَهائى
sticken; گُلدوزى کَردَن
- gestickter Gürtel; کَمَربَند ِ طَراز
Stickerei; بُرودِرى، گُلدوزى
stickig; خَفَقان آور، خَفه کُنَنده
- stickiger Geruch; بوی ِ زُهم
Stickstoff; آزُت
- Stickstoff & Sauerstoff; آزُت و اُکسیژِن
stiebitzen; ناخُنَک زَدَن، کِش رَفتَن
Stief-;
- bruder; نابَرادَرى، بَرادر ِ ناتَنى
- schwester; ناخواهَرى، خواهَر ِ ناتَنى
- eltern; والِدِین ِ ناتَنى
- mutter; نامادَرى، مادَر اَندَر
- vater;  ناپدَرى، پِدَر اَندَر
- kind; نافَرزَندى، فَرزَند ِ ناتَنى، ـ خوانده، ـ اَندَر
- sohn; ناپِسَرى، پِسَر اَندَر
- tochter; (pl.)  (نادُختَرى، رَبیب (رَبیبه
Stiefel; چِکمه، پوتین
- Schnürstiefel; چِکمه هاى ِ بَند دار
Stiefmütterchen; بَنَفشهٔ فَرَنگى
Stiel; ساقه
- Axtstiel; دَستهٔ تَبَر
Stier; گاو نَر
Stierkampf; گاو بازى
stiften; وَقف کَردَن
Stiftung; (pl.)  (بُنیاد، وَقف (اوقاف
Stiftungsvermögen; موقوفات
Stil;
- Baustil; نَسَق  ِساختِمان
- Stil & Anordnung (literat.); سیاق و نَظم
- Führungsstil; سَبک ِ رَهبَرى
- Regierungsstil; سَبک ِ حُکومَت
- Schreibstil; سَبک
still; آرام، ساکِت
- still & erhaben; آرام و با وَقار، بى شَر و شور
- stiller Ort; جای ِ دِنجی
- stille Wasser sind tief; فِلفِل نَبین چه ریزه!، آب زیر ِ کاه
- je stiller, desto besser; هرچه بى سَر و صِداتَر بِهتَر
Stille; سُکوت، خاموشى، آرامِش
- im Stillen; دَر نَهان
- im Stillen vor s. hin lachen; هِق هِق خَنده
- für mich die Stille suchen; با خودَم خِلوَت كُنَم
stilllegen; خواباندَن
- das Auto stilllegen; ماشین را خواباندَن
- die Fabrik ist stilllgelegt; کارگاه بِحال ِ تَعطیل اُفتاده
Stilllegung (Arbeit); تَعطیل شُدَن، بَسته ش
stillen; شیر دادَن
- das Blut stillen; خون را بَند آوَردَن
- das Bedürfnis von jem. stillen; نیاز ِ کِسى را بَر آوَرده کَردَن
Stillhalteabkommen; موافِقَتنامهٔ سُکون
stillschweigend; دَر خَفا
- stillschweigend akzeptieren; چِشم و گوش بَسته قَبول کَردَن
- stillschweigendes Einverständnis; رِضايَت ِ ضِمنى، مُوافِقت ِ ضِمنى، سُکوت عَلامَت ِ رِضا
Stillstand; اِسکات، سُکونَت
- Stillstand hervorrufen; وَقفه ایجاد کَردَن
- zum Stillstand kommen; به وُقوف رِسیدَن، به تَوَقُف ر.، وَقفه پیش آمَدَن
- Stillstand der Blutung; رُکود ِ َدم
- der Regen kommt zum Stillstand; باران بَند آمَد
stillstehen; به سُکوت رِسیدَن
- vor Freude konnte er nicht stillstehen; از شادى روى ِ پاى ِ خود بَند نَبود
Stillung;
- Stillung des Durstes; اِسقاء، رَفع ِ تِشنِگى
Stimmabgabe;
- briefliche Stimmabgabe; رأى گیرى ِ کَتبى
- geheime Stimmabgabe; رأى گیرى ِ سِرى
- namentliche Stimmabgabe; رأى گیرى بِنام
Stimmanteil;
- Partei mit dem grössten Stimmanteil; حِزب با بُزُرگتَرین سَهم ِ آراء
Stimmband; طِناب ِ صوتى
stimmberechtigt;
- stimmberechtigtes Mitglied; عُضو با حَق ِ رأى
Stimmbruch; تَغییر ِ صِدا دَر هَنگام ِ بُلوغ، صِدای ِ دو گِره
Stimme; آواز، آوا، نَوا، صِدا
- Nein - Stimme; رأى ِ مَنفى
- sie gaben ihre Stimme für ...; رأى به ... دادَند
- mit unterdrückter Stimme; مِن مِن کَنان
- der Ton seiner Stimme macht auf die Gefahr aufmerksam; صِداى ِ او خَطَرى را هُشدار مى دَهَد
- Delegiertenstimme; (pl.) رأى ِ (آراى) نَمايَنده
stimmen;
- für jem. stimmen; به کِسى رأى دادَن
- das stimmt nicht; حَقیقَت نَدارَد، از این خَبَرها نیست
- keines seiner Worte stimmt; از این حَرفهاى ِ صَد تا يِک غاز زیاد است
- alles stimmte haargenau; مو لاى ِ دَرزَش نِمى رَفت
- Gitarre stimmen; گیتار کوک کَردَن
Stimmenanteil; سَهم ِ آراء
Stimmenauszählung; شُمارِش ِ آراء
Stimmenfang; شِکار ِ آراء
Stimmenrückgang; کاهِش ِ آراء
